yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
rluC	P0AA39		3D-structure;Complete proteome;Direct protein sequencing;Isomerase;RNA-binding;Reference proteome;rRNA processing	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	cytosol [GO:0005829]	cytosol [GO:0005829]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]	GO:0000455; GO:0003723; GO:0005829; GO:0009982; GO:0120159							4261025;850009;	ecj:JW1072;eco:b1086;	EG11118;	
yceF	P0A729		3D-structure;Complete proteome;Cytoplasm;Hydrolase;Nucleotide metabolism;Reference proteome	nucleotide metabolic process [GO:0009117]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; nucleotide metabolic process [GO:0009117]	nucleoside-triphosphate diphosphatase activity [GO:0047429]	GO:0005737; GO:0009117; GO:0047429				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00528, ECO:0000305}.			4261026;	ecj:JW5155;eco:b1087;	EG11438;	
yceD	P0AB28		Complete proteome;Reference proteome;Ribosome biogenesis	ribosome biogenesis [GO:0042254]	cytosol [GO:0005829]	cytosol [GO:0005829]; ribosome biogenesis [GO:0042254]		GO:0005829; GO:0042254							4261028;	ecj:JW1074;eco:b1088;	EG11119;	
ycfH	P0AFQ7	METAL 7 7 Divalent metal cation 1. {ECO:0000269|Ref.7}.; METAL 9 9 Divalent metal cation 1. {ECO:0000269|Ref.7}.; METAL 94 94 Divalent metal cation 1. {ECO:0000269|Ref.7}.; METAL 94 94 Divalent metal cation 2. {ECO:0000269|Ref.7}.; METAL 130 130 Divalent metal cation 2. {ECO:0000269|Ref.7}.; METAL 155 155 Divalent metal cation 2. {ECO:0000269|Ref.7}.; METAL 205 205 Divalent metal cation 1. {ECO:0000269|Ref.7}.	3D-structure;Complete proteome;Hydrolase;Metal-binding;Reference proteome		cytosol [GO:0005829]	cytosol [GO:0005829]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]	GO:0005829; GO:0016888; GO:0046872		P15877					4260943;	ecj:JW1086;eco:b1100;	EG12303;	
hinT	P0ACE7		3D-structure;Complete proteome;Hydrolase;Nucleotide-binding;Reference proteome	D-alanine catabolic process [GO:0055130]	cytosol [GO:0005829]	cytosol [GO:0005829]; adenosine 5'-monophosphoramidase activity [GO:0043530]; nucleotide binding [GO:0000166]; D-alanine catabolic process [GO:0055130]	adenosine 5'-monophosphoramidase activity [GO:0043530]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005829; GO:0043530; GO:0055130							4261963;	ecj:JW1089;eco:b1103;	EG12172;	
ycfL	P75946		Complete proteome;Reference proteome	cellular response to DNA damage stimulus [GO:0006974]		cellular response to DNA damage stimulus [GO:0006974]		GO:0006974							4260941;	ecj:JW1090;eco:b1104;	EG13430;	
lpoB	P0AB38		Cell outer membrane;Cell shape;Complete proteome;Lipoprotein;Membrane;Palmitate;Peptidoglycan synthesis;Reference proteome;Signal	peptidoglycan biosynthetic process [GO:0009252]; positive regulation of catalytic activity [GO:0043085]; regulation of cell shape [GO:0008360]	cell outer membrane [GO:0009279]; periplasmic side of cell outer membrane [GO:0031241]	cell outer membrane [GO:0009279]; periplasmic side of cell outer membrane [GO:0031241]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme regulator activity [GO:0030234]; peptidoglycan biosynthetic process [GO:0009252]; positive regulation of catalytic activity [GO:0043085]; regulation of cell shape [GO:0008360]	enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme regulator activity [GO:0030234]	GO:0008047; GO:0008360; GO:0009252; GO:0009279; GO:0019899; GO:0030234; GO:0031241; GO:0043085		P02919		SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}; Lipid-anchor {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}; Periplasmic side {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}. Note=Localizes to the divisome and to the lateral wall.			4263027;	ecj:JW5157;eco:b1105;	EG13431;	
thiK	P75948		ATP-binding;Complete proteome;Kinase;Nucleotide-binding;Reference proteome;Transferase	thiamine diphosphate biosynthetic process [GO:0009229]; thiamine metabolic process [GO:0006772]		ATP binding [GO:0005524]; thiamine kinase activity [GO:0019165]; thiamine diphosphate biosynthetic process [GO:0009229]; thiamine metabolic process [GO:0006772]	ATP binding [GO:0005524]; thiamine kinase activity [GO:0019165]	GO:0005524; GO:0006772; GO:0009229; GO:0019165							4260073;	ecj:JW1092;eco:b1106;	EG13432;	
nagZ	P75949		Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Complete proteome;Cytoplasm;Glycosidase;Hydrolase;Peptidoglycan synthesis;Reference proteome	carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	cytosol [GO:0005829]	cytosol [GO:0005829]; beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]	GO:0004563; GO:0005829; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0009254; GO:0051301; GO:0071555; GO:0102148				SUBCELLULAR LOCATION: Cytoplasm.			4259534;	ecj:JW1093;eco:b1107;	EG13433;	
pepT	P29745	METAL 78 78 Zinc 1. {ECO:0000269|PubMed:16021622}.; METAL 140 140 Zinc 1. {ECO:0000269|PubMed:16021622}.; METAL 140 140 Zinc 2. {ECO:0000269|PubMed:16021622}.; METAL 174 174 Zinc 2. {ECO:0000269|PubMed:16021622}.; METAL 196 196 Zinc 1. {ECO:0000269|PubMed:16021622}.; METAL 379 379 Zinc 2. {ECO:0000269|PubMed:16021622}.	3D-structure;Aminopeptidase;Complete proteome;Cytoplasm;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	peptide catabolic process [GO:0043171]; peptide metabolic process [GO:0006518]	cytosol [GO:0005829]	cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]; peptide metabolic process [GO:0006518]	metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]	GO:0005829; GO:0006518; GO:0008237; GO:0008270; GO:0043171; GO:0045148		P0A7C6; P0A858		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.			4261675;	ecj:JW1113;eco:b1127;	EG11549;	
icd	P08200	METAL 307 307 Magnesium or manganese. {ECO:0000244|PDB:1AI3, ECO:0000244|PDB:1BL5, ECO:0000244|PDB:1GRP, ECO:0000244|PDB:1HJ6, ECO:0000244|PDB:1IDC, ECO:0000244|PDB:1P8F, ECO:0000244|PDB:4AJB, ECO:0000244|PDB:4AJR, ECO:0000244|PDB:4AJS, ECO:0000244|PDB:4BNP, ECO:0000244|PDB:8ICD, ECO:0000269|PubMed:11284679, ECO:0000269|PubMed:2204109, ECO:0000269|PubMed:7761851}.	3D-structure;Acetylation;Complete proteome;Direct protein sequencing;Glyoxylate bypass;Magnesium;Manganese;Metal-binding;NADP;Oxidoreductase;Phosphoprotein;Reference proteome;Tricarboxylic acid cycle	electron transport chain [GO:0022900]; glyoxylate cycle [GO:0006097]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; electron transport chain [GO:0022900]; glyoxylate cycle [GO:0006097]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0004450; GO:0005737; GO:0005829; GO:0006097; GO:0006099; GO:0006979; GO:0022900; GO:0051287		P11071					4263056;	ecj:JW1122;eco:b1136;	EG10489;	
icd	Q1PI72			tricarboxylic acid cycle [GO:0006099]		isocitrate dehydrogenase (NADP+) activity [GO:0004450]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]	GO:0004450; GO:0006099										
ycgZ	P75991		Complete proteome;Reference proteome	cellular response to acidic pH [GO:0071468]; negative regulation of transcription, DNA-templated [GO:0045892]		cellular response to acidic pH [GO:0071468]; negative regulation of transcription, DNA-templated [GO:0045892]		GO:0045892; GO:0071468							4259500;	ecj:JW1151;eco:b1164;	EG14288;	
ymgA	P75992		Complete proteome;Reference proteome	negative regulation of single-species biofilm formation [GO:1900191]		negative regulation of single-species biofilm formation [GO:1900191]		GO:1900191							4259445;	ecj:JW1152;eco:b1165;	EG14289;	
ariR	P75993		3D-structure;Complete proteome;DNA-binding;Reference proteome	cellular response to acidic pH [GO:0071468]; response to hydrogen peroxide [GO:0042542]		DNA binding [GO:0003677]; cellular response to acidic pH [GO:0071468]; response to hydrogen peroxide [GO:0042542]	DNA binding [GO:0003677]	GO:0003677; GO:0042542; GO:0071468							4263105;	ecj:JW1153;eco:b1166;	EG14290;	
ymgC	P75994		Complete proteome;Reference proteome												4261743;	ecj:JW1154;eco:b1167;	EG14291;	
ycgG	P75995		Cell membrane;Complete proteome;Hydrolase;Membrane;Reference proteome;Transmembrane;Transmembrane helix;c-di-GMP		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]	GO:0005886; GO:0016021; GO:0071111				SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Note=Found associated with the RNA degradosome. {ECO:0000269|PubMed:16139413}.		TRANSMEM 4 24 Helical. {ECO:0000255}.; TRANSMEM 217 237 Helical. {ECO:0000255}.	4261455;	ecj:JW5174;eco:b1168;	EG13888;	
hlyE	P77335		3D-structure;Complete proteome;Cytolysis;Direct protein sequencing;Disulfide bond;Hemolysis;Host cell membrane;Host membrane;Membrane;Periplasm;Reference proteome;Secreted;Toxin;Transmembrane;Transmembrane helix;Virulence	cytolysis in other organism [GO:0051715]; hemolysis in other organism [GO:0044179]; modulation of apoptotic process in other organism [GO:0044532]; pathogenesis [GO:0009405]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]; identical protein binding [GO:0042802]; toxin activity [GO:0090729]; cytolysis in other organism [GO:0051715]; hemolysis in other organism [GO:0044179]; modulation of apoptotic process in other organism [GO:0044532]; pathogenesis [GO:0009405]	identical protein binding [GO:0042802]; toxin activity [GO:0090729]	GO:0005576; GO:0009405; GO:0016021; GO:0020002; GO:0042597; GO:0042802; GO:0044179; GO:0044532; GO:0051715; GO:0090729		Itself		SUBCELLULAR LOCATION: Secreted. Periplasm. Host cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Exported from the cell by outer membrane vesicles. Also found in the periplasmic space.		TRANSMEM 183 203 Helical. {ECO:0000255}.	4260100;	ecj:JW5181;eco:b1182;	EG13243;	
dsbB	P0A6M2		3D-structure;Cell inner membrane;Cell membrane;Chaperone;Complete proteome;Disulfide bond;Electron transport;Membrane;Oxidoreductase;Redox-active center;Reference proteome;Transmembrane;Transmembrane helix;Transport	electron transport chain [GO:0022900]; response to heat [GO:0009408]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]; electron transport chain [GO:0022900]; response to heat [GO:0009408]	electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]	GO:0005886; GO:0009055; GO:0009408; GO:0015035; GO:0016021; GO:0022900		P0AEG4		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:7957076, ECO:0000269|PubMed:8430071}; Multi-pass membrane protein {ECO:0000269|PubMed:7957076, ECO:0000269|PubMed:8430071}.	TOPO_DOM 1 14 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 32 49 Periplasmic. {ECO:0000305}.; TOPO_DOM 66 71 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 90 144 Periplasmic. {ECO:0000305}.; TOPO_DOM 164 176 Cytoplasmic. {ECO:0000305}.	TRANSMEM 15 31 Helical. {ECO:0000305}.; TRANSMEM 50 65 Helical. {ECO:0000305}.; TRANSMEM 72 89 Helical. {ECO:0000305}.; TRANSMEM 145 163 Helical. {ECO:0000305}.	4261815;	ecj:JW5182;eco:b1185;	EG11393;	
nhaB	P0AFA7		Antiport;Cell inner membrane;Cell membrane;Complete proteome;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Transmembrane;Transmembrane helix;Transport	intracellular pH reduction [GO:0051452]; proton transmembrane transport [GO:1902600]; response to lithium ion [GO:0010226]; sodium ion transport [GO:0006814]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation:cation antiporter activity [GO:0015491]; sodium:proton antiporter activity [GO:0015385]; intracellular pH reduction [GO:0051452]; proton transmembrane transport [GO:1902600]; response to lithium ion [GO:0010226]; sodium ion transport [GO:0006814]	cation:cation antiporter activity [GO:0015491]; sodium:proton antiporter activity [GO:0015385]	GO:0005886; GO:0006814; GO:0010226; GO:0015385; GO:0015491; GO:0016021; GO:0051452; GO:1902600				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.		TRANSMEM 23 43 Helical. {ECO:0000255}.; TRANSMEM 52 72 Helical. {ECO:0000255}.; TRANSMEM 97 117 Helical. {ECO:0000255}.; TRANSMEM 120 140 Helical. {ECO:0000255}.; TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 202 222 Helical. {ECO:0000255}.; TRANSMEM 238 258 Helical. {ECO:0000255}.; TRANSMEM 303 323 Helical. {ECO:0000255}.; TRANSMEM 348 368 Helical. {ECO:0000255}.; TRANSMEM 391 411 Helical. {ECO:0000255}.; TRANSMEM 447 467 Helical. {ECO:0000255}.; TRANSMEM 475 495 Helical. {ECO:0000255}.	4260101;	ecj:JW1175;eco:b1186;	EG11392;	
fadR	P0A8V6		3D-structure;Activator;Complete proteome;Cytoplasm;DNA-binding;Direct protein sequencing;Fatty acid metabolism;Lipid metabolism;Reference proteome;Repressor;Transcription;Transcription regulation	fatty acid oxidation [GO:0019395]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of fatty acid metabolic process [GO:0019217]	cytosol [GO:0005829]	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; fatty-acyl-CoA binding [GO:0000062]; fatty acid oxidation [GO:0019395]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of fatty acid metabolic process [GO:0019217]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; fatty-acyl-CoA binding [GO:0000062]	GO:0000062; GO:0003677; GO:0003700; GO:0005829; GO:0019217; GO:0019395; GO:0045723; GO:0045892; GO:0045893				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00696}.			4260102;	ecj:JW1176;eco:b1187;	EG10281;	
ycgB	P29013		Complete proteome;Reference proteome	cellular response to DNA damage stimulus [GO:0006974]		cellular response to DNA damage stimulus [GO:0006974]		GO:0006974							4260103;	ecj:JW1177;eco:b1188;	EG11516;	
ymgE	P76011		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.		TRANSMEM 1 21 Helical. {ECO:0000255}.; TRANSMEM 27 47 Helical. {ECO:0000255}.; TRANSMEM 58 78 Helical. {ECO:0000255}.	4262916;	ecj:JW1184;eco:b1195;	EG14338;	
ycgY	P76012		Complete proteome;Reference proteome												4260953;	ecj:JW1185;eco:b1196;	EG14275;	
treA	P13482		3D-structure;Complete proteome;Direct protein sequencing;Glycosidase;Hydrolase;Periplasm;Reference proteome;Signal	cellular hyperosmotic response [GO:0071474]; cellular response to DNA damage stimulus [GO:0006974]; trehalose catabolic process [GO:0005993]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; alpha,alpha-trehalase activity [GO:0004555]; cellular hyperosmotic response [GO:0071474]; cellular response to DNA damage stimulus [GO:0006974]; trehalose catabolic process [GO:0005993]	alpha,alpha-trehalase activity [GO:0004555]	GO:0004555; GO:0005993; GO:0006974; GO:0030288; GO:0071474				SUBCELLULAR LOCATION: Periplasm.			4260095;	ecj:JW1186;eco:b1197;	EG11017;	
ycgV	P76017		Complete proteome;Reference proteome	cell adhesion involved in biofilm formation [GO:0043708]	outer membrane [GO:0019867]	outer membrane [GO:0019867]; cell adhesion involved in biofilm formation [GO:0043708]		GO:0019867; GO:0043708							4260897;	ecj:JW1193;eco:b1202;	EG13903;	
ychH	P0AB49		Complete proteome;Reference proteome	cellular response to cadmium ion [GO:0071276]; cellular response to hydrogen peroxide [GO:0070301]; single-species biofilm formation on inanimate substrate [GO:0044011]		cellular response to cadmium ion [GO:0071276]; cellular response to hydrogen peroxide [GO:0070301]; single-species biofilm formation on inanimate substrate [GO:0044011]		GO:0044011; GO:0070301; GO:0071276							4260109;	ecj:JW1196;eco:b1205;	EG11533;	
chaA	P31801		Antiport;Calcium;Cell inner membrane;Cell membrane;Complete proteome;Ion transport;Membrane;Potassium;Reference proteome;Sodium;Transmembrane;Transmembrane helix;Transport	sodium ion transport [GO:0006814]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385]; sodium ion transport [GO:0006814]	potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385]	GO:0005886; GO:0005887; GO:0006814; GO:0015385; GO:0015386				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.	TOPO_DOM 1 16 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 59 74 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 96 106 Periplasmic. {ECO:0000255}.; TOPO_DOM 128 143 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 165 167 Periplasmic. {ECO:0000255}.; TOPO_DOM 189 216 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 238 255 Periplasmic. {ECO:0000255}.; TOPO_DOM 277 290 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 312 318 Periplasmic. {ECO:0000255}.; TOPO_DOM 340 345 Cytoplasmic. {ECO:0000255}.	TRANSMEM 17 37 Helical. {ECO:0000255}.; TRANSMEM 38 58 Helical. {ECO:0000255}.; TRANSMEM 75 95 Helical. {ECO:0000255}.; TRANSMEM 107 127 Helical. {ECO:0000255}.; TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 168 188 Helical. {ECO:0000255}.; TRANSMEM 217 237 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 291 311 Helical. {ECO:0000255}.; TRANSMEM 319 339 Helical. {ECO:0000255}.; TRANSMEM 346 366 Helical. {ECO:0000255}.	4260120;	ecj:JW1207;eco:b1216;	EG11753;	
chaB	P0AE63		Complete proteome;Reference proteome;Transcription;Transcription regulation												4260111;	ecj:JW1208;eco:b1217;	EG12402;	
chaC	P39163		Complete proteome;Lyase;Reference proteome	bacterial-type flagellum-dependent cell motility [GO:0071973]; glutathione catabolic process [GO:0006751]		gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]; bacterial-type flagellum-dependent cell motility [GO:0071973]; glutathione catabolic process [GO:0006751]	gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]	GO:0003839; GO:0006751; GO:0061928; GO:0071973							4261606;	ecj:JW1209;eco:b1218;	EG12403;	
narH	P11349	METAL 16 16 Iron-sulfur 1 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 19 19 Iron-sulfur 1 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 22 22 Iron-sulfur 1 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 26 26 Iron-sulfur 2 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 184 184 Iron-sulfur 3 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 187 187 Iron-sulfur 3 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 192 192 Iron-sulfur 3 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 196 196 Iron-sulfur 4 (3Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 217 217 Iron-sulfur 4 (3Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 223 223 Iron-sulfur 4 (3Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 227 227 Iron-sulfur 3 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 244 244 Iron-sulfur 2 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 247 247 Iron-sulfur 2 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 259 259 Iron-sulfur 2 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.; METAL 263 263 Iron-sulfur 1 (4Fe-4S). {ECO:0000269|PubMed:12910261, ECO:0000269|PubMed:14725769}.	3D-structure;3Fe-4S;4Fe-4S;Cell membrane;Complete proteome;Direct protein sequencing;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Nitrate assimilation;Oxidoreductase;Reference proteome;Repeat;Transport	anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]; nitrate metabolic process [GO:0042126]	intrinsic component of membrane [GO:0031224]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; membrane [GO:0016020]; NarGHI complex [GO:0044799]	intrinsic component of membrane [GO:0031224]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; membrane [GO:0016020]; NarGHI complex [GO:0044799]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]; anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]; nitrate metabolic process [GO:0042126]	3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]	GO:0008940; GO:0009055; GO:0009061; GO:0016020; GO:0031224; GO:0031235; GO:0042126; GO:0042128; GO:0044799; GO:0046872; GO:0051538; GO:0051539		P42593; P09152; P19317; P19318; P19319		SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein.			4262231;	ecj:JW1216;eco:b1225;	EG10639;	
