Geneid,comparison,genename,bnum
"IGR:(CDS,b1732,katE,catalase_HPII%2C_heme_d-containing,cds1720,+,2261/CDS,b1733,chbG,chito-oligosaccharide_deacetylase,cds1721,-,749):+:196:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b1733:chbG:chito-oligosaccharide_deacetylase:cds1721:-:749:NC_000913.3,WT0_WT90.WT90_dRpoS90,chbG,b1733
"AS_IGR:(CDS,b1738,chbB,N%2CN'-diacetylchitobiose-specific_enzyme_IIB_component_of_PTS,cds1726,-,320/CDS,b1739,osmE,osmotically-inducible_lipoprotein,cds1727,-,338):+:247:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1739:osmE:osmotically-inducible_lipoprotein:cds1727:-:338:NC_000913.3,WT0_WT90.WT90_dRpoS90,osmE,b1739
AS_CDS:b1739:osmE:osmotically-inducible_lipoprotein:cds1727:-:338:NC_000913.3,WT0_WT90.WT90_dRpoS90,osmE,b1739
"AS_IGR:(CDS,b1739,osmE,osmotically-inducible_lipoprotein,cds1727,-,338/CDS,b1740,nadE,NAD_synthetase%2C_NH3/glutamine-dependent,cds1728,+,827):+:160:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_IGR:(CDS,b1743,spy,periplasmic_ATP-independent_protein_refolding_chaperone%2C_stress-induced,cds1731,-,485/CDS,b1744,astE,succinylglutamate_desuccinylase,cds1732,-,968):+:278:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_IGR:(CDS,b1748,astC,succinylornithine_transaminase%2C_PLP-dependent,cds1736,-,1220/CDS,b1749,xthA,exonuclease_III,cds1737,+,806):+:404:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"IGR:(CDS,b1782,mipA,scaffolding_protein_for_murein_synthesizing_machinery,cds1770,-,746/CDS,b1783,yeaG,protein_kinase%2C_endogenous_substrate_unidentified%3B_autokinase,cds1771,+,1934):+:394:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1783:yeaG:protein_kinase%2C_endogenous_substrate_unidentified%3B_autokinase:cds1771:+:1934:NC_000913.3,WT0_WT90.WT90_dRpoS90,yeaG,b1783
"IGR:(CDS,b1783,yeaG,protein_kinase%2C_endogenous_substrate_unidentified%3B_autokinase,cds1771,+,1934/CDS,b1784,yeaH,UPF0229_family_protein,cds1772,+,1283):+:61:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1784:yeaH:UPF0229_family_protein:cds1772:+:1283:NC_000913.3,WT0_WT90.WT90_dRpoS90,yeaH,b1784
"IGR:(CDS,b1784,yeaH,UPF0229_family_protein,cds1772,+,1283/CDS,b1785,yeaI,putative_membrane-anchored_diguanylate_cyclase,cds1773,+,1475):+:95:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b4675:yoaJ:inner_membrane-associated_protein:cds1784:+:74:NC_000913.3,WT0_WT90.WT90_dRpoS90,yoaJ,b4675
CDS:b1795:yeaQ:UPF0410_family_protein:cds1785:-:248:NC_000913.3,WT0_WT90.WT90_dRpoS90,yeaQ,b1795
"AS_IGR:(CDS,b1795,yeaQ,UPF0410_family_protein,cds1785,-,248/CDS,b1796,yoaG,uncharacterized_protein,cds1786,-,182):+:96:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1810:yoaC:DUF1889_family_protein:cds1800:+:299:NC_000913.3,WT0_WT90.WT90_dRpoS90,yoaC,b1810
CDS:b1813:nudL:putative_CoA_pyrophosphohydrolase%2C_weak_3-phosphohydroxypyruvate_phosphatase:cds1803:+:578:NC_000913.3,WT0_WT90.WT90_dRpoS90,nudL,b1813
CDS:b1815:yoaD:putative_membrane-anchored_cyclic-di-GMP_phosphodiesterase%2C_regulator_of_cellulose_production:cds1805:+:1598:NC_000913.3,WT0_WT90.WT90_dRpoS90,yoaD,b1815
CDS:b1833:yebS:inner_membrane_PqiA_domain_protein:cds1824:+:1283:NC_000913.3,WT0_WT90.WT90_dRpoS90,yebS,b1833
CDS:b1834:yebT:MCE_domain_protein:cds1825:+:2633:NC_000913.3,WT0_WT90.WT90_dRpoS90,yebT,b1834
"IGR:(CDS,b1835,rsmF,16S_rRNA_m5C1407_methyltransferase%2C_SAM-dependent,cds1826,+,1439/CDS,b1836,yebV,uncharacterized_protein,cds1827,+,236):+:66:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1836:yebV:uncharacterized_protein:cds1827:+:236:NC_000913.3,WT0_WT90.WT90_dRpoS90,yebV,b1836
"IGR:(CDS,b1836,yebV,uncharacterized_protein,cds1827,+,236/CDS,b1837,yebW,uncharacterized_protein,cds1828,+,191):+:53:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1837:yebW:uncharacterized_protein:cds1828:+:191:NC_000913.3,WT0_WT90.WT90_dRpoS90,yebW,b1837
AS_CDS:b1838:pphA:serine/threonine-specific_protein_phosphatase_1:cds1829:-:656:NC_000913.3,WT0_WT90.WT90_dRpoS90,pphA,b1838
"AS_IGR:(CDS,b1838,pphA,serine/threonine-specific_protein_phosphatase_1,cds1829,-,656/ncRNA,b4432,ID,ryeA,novel_sRNA%2C_function_unknown,id222,+,248):+:75:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_ncRNA:b4432,ID:ryeA:novel_sRNA%2C_function_unknown:id222:+:248:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"ncRNA:b4433,ID:sdsR:novel_sRNA%2C_function_unknown:id223:-:120:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1845:ptrB:protease_II:cds1836:-:2060:NC_000913.3,WT0_WT90.WT90_dRpoS90,ptrB,b1845
"AS_IGR:(CDS,b1846,yebE,DUF533_family_inner_membrane_protein,cds1837,-,659/CDS,b1847,yebF,extracellular_Colicin_M_immunity_family_protein,cds1838,-,356):+:275:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1847:yebF:extracellular_Colicin_M_immunity_family_protein:cds1838:-:356:NC_000913.3,WT0_WT90.WT90_dRpoS90,yebF,b1847
"AS_IGR:(CDS,b1847,yebF,extracellular_Colicin_M_immunity_family_protein,cds1838,-,356/CDS,b1848,yebG,DNA_damage-inducible_protein_regulated_by_LexA,cds1839,-,290):+:15:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1857:znuA:zinc_ABC_transporter_periplasmic_binding_protein:cds1848:-:932:NC_000913.3,WT0_WT90.WT90_dRpoS90,znuA,b1857
AS_CDS:b1895:uspC:universal_stress_protein:cds1887:+:428:NC_000913.3,WT0_WT90.WT90_dRpoS90,uspC,b1895
CDS:b1896:otsA:trehalose-6-phosphate_synthase:cds1888:-:1424:NC_000913.3,WT0_WT90.WT90_dRpoS90,otsA,b1896
CDS:b1897:otsB:trehalose-6-phosphate_phosphatase%2C_biosynthetic:cds1889:-:800:NC_000913.3,WT0_WT90.WT90_dRpoS90,otsB,b1897
"AS_IGR:(CDS,b1897,otsB,trehalose-6-phosphate_phosphatase%2C_biosynthetic,cds1889,-,800/CDS,b4460,araH,L-arabinose_ABC_transporter_permease,cds1890,-,986):+:115:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"IGR:(CDS,b1926,fliT,putative_flagellar_synthesis_and_assembly_chaperone,cds1915,+,365/CDS,b1927,amyA,cytoplasmic_alpha-amylase,cds1916,+,1487):+:26:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1927:amyA:cytoplasmic_alpha-amylase:cds1916:+:1487:NC_000913.3,WT0_WT90.WT90_dRpoS90,amyA,b1927
AS_CDS:b1928:yedD:lipoprotein:cds1917:-:413:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedD,b1928
"IGR:(CDS,b1952,dsrB,uncharacterized_protein,cds1939,-,188/CDS,b1953,yodD,uncharacterized_protein,cds1940,+,227):+:121:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1953:yodD:uncharacterized_protein:cds1940:+:227:NC_000913.3,WT0_WT90.WT90_dRpoS90,yodD,b1953
"AS_ncRNA:b1954,ID:dsrA:sRNA_antisense_regulator_enhances_translation_of_RpoS%2C_Hfq-dependent:id235:-:86:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"IGR:(ncRNA,b1954,ID,dsrA,sRNA_antisense_regulator_enhances_translation_of_RpoS%2C_Hfq-dependent,id235,-,86/CDS,b1955,yedP,putative_mannosyl-3-phosphoglycerate_phosphatase,cds1941,+,815):+:176:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1955:yedP:putative_mannosyl-3-phosphoglycerate_phosphatase:cds1941:+:815:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedP,b1955
CDS:b1956:yedQ:putative_membrane-anchored_diguanylate_cyclase:cds1942:-:1694:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedQ,b1956
"AS_IGR:(CDS,b1956,yedQ,putative_membrane-anchored_diguanylate_cyclase,cds1942,-,1694/CDS,b1957,yodC,uncharacterized_protein,cds1943,-,182):+:119:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1957:yodC:uncharacterized_protein:cds1943:-:182:NC_000913.3,WT0_WT90.WT90_dRpoS90,yodC,b1957
"AS_IGR:(CDS,b1957,yodC,uncharacterized_protein,cds1943,-,182/CDS,b1958,yedI,DUF808_family_inner_membrane_protein,cds1944,-,917):+:27:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1958:yedI:DUF808_family_inner_membrane_protein:cds1944:-:917:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedI,b1958
CDS:-:yedS:-:cds1950:+:662:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedS,NA
gene:b4496:yedS:-:gene2012:+:1192:NC_000913.3,WT0_WT90.WT90_dRpoS90,NA,NA
"IGR:(CDS,-,yedS,-,cds1950,+,530/CDS,b1967,hchA,glyoxalase_III_and_Hsp31_molecular_chaperone,cds1951,+,851):+:540:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b1967:hchA:glyoxalase_III_and_Hsp31_molecular_chaperone:cds1951:+:851:NC_000913.3,WT0_WT90.WT90_dRpoS90,hchA,b1967
"IGR:(CDS,b1967,hchA,glyoxalase_III_and_Hsp31_molecular_chaperone,cds1951,+,851/CDS,b1968,yedV,putative_sensory_kinase_in_two-component_regulatory_system_with_YedW,cds1952,-,1358):+:46:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b1968:yedV:putative_sensory_kinase_in_two-component_regulatory_system_with_YedW:cds1952:-:1358:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedV,b1968
CDS:b1971:yedY:membrane-anchored%2C_periplasmic_TMAO%2C_DMSO_reductase:cds1955:+:1004:NC_000913.3,WT0_WT90.WT90_dRpoS90,yedY,b1971
AS_CDS:b1982:amn:AMP_nucleosidase:cds1963:+:1454:NC_000913.3,WT0_WT90.WT90_dRpoS90,amn,b1982
CDS:b1990:ldtA:L%2CD-transpeptidase_linking_Lpp_to_murein:cds1968:-:932:NC_000913.3,WT0_WT90.WT90_dRpoS90,ldtA,b1990
"AS_IGR:(CDS,b1990,ldtA,L%2CD-transpeptidase_linking_Lpp_to_murein,cds1968,-,932/CDS,b1991,cobT,nicotinate-nucleotide--dimethylbenzimidazole_phosphoribosyltransferase,cds1969,-,1079):+:13:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
sequence_feature:-:-:-:id244:+:11677:NC_000913.3,WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2000:flu:CP4-44_prophage%3B_antigen_43_Ag43_phase-variable_biofilm_formation_autotransporter:cds1980:+:3119:NC_000913.3,WT0_WT90.WT90_dRpoS90,flu,b2000
"IGR:(CDS,b2000,flu,CP4-44_prophage%3B_antigen_43_Ag43_phase-variable_biofilm_formation_autotransporter,cds1980,+,3119/CDS,b2001,yeeR,CP4-44_prophage%3B_putative_membrane_protein,cds1981,+,1532):+:69:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2002:yeeS:CP4-44_prophage%3B_putative_DNA_repair_protein:cds1982:+:446:NC_000913.3,WT0_WT90.WT90_dRpoS90,yeeS,b2002
"IGR:(CDS,b2079,baeR,response_regulator_in_two-component_regulatory_system_with_BaeS,cds2065,+,722/CDS,b2080,yegP,UPF0339_family_protein,cds2066,+,332):+:139:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2080:yegP:UPF0339_family_protein:cds2066:+:332:NC_000913.3,WT0_WT90.WT90_dRpoS90,yegP,b2080
"IGR:(CDS,b2080,yegP,UPF0339_family_protein,cds2066,+,332/CDS,b2081,yegQ,putative_peptidase,cds2067,+,1361):+:95:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2086:yegS:phosphatidylglycerol_kinase%2C_metal-dependent:cds2071:+:899:NC_000913.3,WT0_WT90.WT90_dRpoS90,yegS,b2086
"IGR:(CDS,b2086,yegS,phosphatidylglycerol_kinase%2C_metal-dependent,cds2071,+,899/CDS,b4498,gatR,-,cds2072,-,474):+:20:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b4498:gatR:-:cds2072:-:474:NC_000913.3,WT0_WT90.WT90_dRpoS90,gatR,b4498
"AS_IGR:(CDS,b2096,gatY,D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_catalytic_subunit,cds2080,-,854/CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052):+:256:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2097:fbaB:fructose-bisphosphate_aldolase_class_I:cds2081:-:1052:NC_000913.3,WT0_WT90.WT90_dRpoS90,fbaB,b2097
"AS_IGR:(CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052/CDS,b2098,yegT,nucleoside_transporter%2C_low_affinity,cds2082,+,1277):+:215:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2112:yehE:DUF2574_family_protein:cds2096:-:281:NC_000913.3,WT0_WT90.WT90_dRpoS90,yehE,b2112
CDS:b2127:mlrA:transcriptional_activator_of_csgD_and_csgBA:cds2110:+:731:NC_000913.3,WT0_WT90.WT90_dRpoS90,mlrA,b2127
AS_CDS:b4542:yohO:putative_membrane_protein:cds2111:+:107:NC_000913.3,WT0_WT90.WT90_dRpoS90,yohO,b4542
CDS:b2128:yehW:putative_ABC_transporter_permease:cds2112:-:731:NC_000913.3,WT0_WT90.WT90_dRpoS90,yehW,b2128
CDS:b2129:yehX:putative_ABC_transporter_ATPase:cds2113:-:926:NC_000913.3,WT0_WT90.WT90_dRpoS90,yehX,b2129
CDS:b2130:yehY:putative_ABC_transporter_permease:cds2114:-:1157:NC_000913.3,WT0_WT90.WT90_dRpoS90,yehY,b2130
CDS:b2131:osmF:putative_ABC_transporter_periplasmic_binding_protein:cds2115:-:917:NC_000913.3,WT0_WT90.WT90_dRpoS90,osmF,b2131
CDS:b2135:yohC:Yip1_family_inner_membrane_protein:cds2119:-:587:NC_000913.3,WT0_WT90.WT90_dRpoS90,yohC,b2135
CDS:b2137:yohF:putative_oxidoreductase:cds2121:-:761:NC_000913.3,WT0_WT90.WT90_dRpoS90,yohF,b2137
"IGR:(CDS,-,mdtQ,-,cds2122,-,149/CDS,b4679,yohP,uncharacterized_protein,cds2123,+,83):+:182:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b4679:yohP:uncharacterized_protein:cds2123:+:83:NC_000913.3,WT0_WT90.WT90_dRpoS90,yohP,b4679
"IGR:(CDS,b4679,yohP,uncharacterized_protein,cds2123,+,83/CDS,b2140,dusC,tRNA-dihydrouridine_synthase_C,cds2124,-,947):+:311:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b2158:yeiH:UPF0324_family_inner_membrane_protein:cds2142:+:1049:NC_000913.3,WT0_WT90.WT90_dRpoS90,yeiH,b2158
AS_CDS:b2234:nrdA:ribonucleoside-diphosphate_reductase_1%2C_alpha_subunit:cds2216:+:2285:NC_000913.3,WT0_WT90.WT90_dRpoS90,nrdA,b2234
CDS:b2253:arnB:uridine_5'-beta-1-threo-pentapyranosyl-4-ulose_diphosphate_aminotransferase%2C_PLP-dependent:cds2236:+:1139:NC_000913.3,WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2254:arnC:undecaprenyl_phosphate-L-Ara4FN_transferase:cds2237:+:968:NC_000913.3,WT0_WT90.WT90_dRpoS90,arnC,b2254
CDS:b2257:arnT:4-amino-4-deoxy-L-arabinose_transferase:cds2240:+:1652:NC_000913.3,WT0_WT90.WT90_dRpoS90,arnT,b2257
CDS:b2265:menF:isochorismate_synthase_2:cds2249:-:1295:NC_000913.3,WT0_WT90.WT90_dRpoS90,menF,b2265
"IGR:(CDS,b2265,menF,isochorismate_synthase_2,cds2249,-,1295/CDS,b2266,elaB,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2250,-,305):+:27:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_IGR:(CDS,b2265,menF,isochorismate_synthase_2,cds2249,-,1295/CDS,b2266,elaB,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2250,-,305):+:27:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2266:elaB:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2250:-:305:NC_000913.3,WT0_WT90.WT90_dRpoS90,elaB,b2266
AS_CDS:b2266:elaB:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2250:-:305:NC_000913.3,WT0_WT90.WT90_dRpoS90,elaB,b2266
"AS_IGR:(CDS,b2266,elaB,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2250,-,305/CDS,b2267,elaA,GNAT_family_putative_N-acetyltransferase,cds2251,-,461):+:3:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2267:elaA:GNAT_family_putative_N-acetyltransferase:cds2251:-:461:NC_000913.3,WT0_WT90.WT90_dRpoS90,elaA,b2267
CDS:b2301:yfcF:glutathione_S-transferase:cds2285:-:644:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfcF,b2301
CDS:b2302:yfcG:GSH-dependent_disulfide_bond_oxidoreductase:cds2286:+:647:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfcG,b2302
AS_CDS:b2320:pdxB:erythronate-4-phosphate_dehydrogenase:cds2304:-:1136:NC_000913.3,WT0_WT90.WT90_dRpoS90,pdxB,b2320
CDS:b2347:yfdC:putative_inner_membrane_protein:cds2330:+:932:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfdC,b2347
CDS:b2371:yfdE:acetyl-CoA:oxalate_CoA-transferase:cds2355:-:1145:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfdE,b2371
"IGR:(CDS,b2388,glk,glucokinase,cds2373,-,965/CDS,b2389,yfeO,putative_ion_channel_protein,cds2374,+,1256):+:162:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2389:yfeO:putative_ion_channel_protein:cds2374:+:1256:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfeO,b2389
CDS:b2464:talA:transaldolase_A:cds2443:+:950:NC_000913.3,WT0_WT90.WT90_dRpoS90,talA,b2464
CDS:b2465:tktB:transketolase_2%2C_thiamine_triphosphate-binding:cds2444:+:2003:NC_000913.3,WT0_WT90.WT90_dRpoS90,tktB,b2465
"IGR:(CDS,b2465,tktB,transketolase_2%2C_thiamine_triphosphate-binding,cds2444,+,2003/CDS,b2466,ypfG,DUF1176_family_protein,cds2445,-,1043):+:33:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b2466:ypfG:DUF1176_family_protein:cds2445:-:1043:NC_000913.3,WT0_WT90.WT90_dRpoS90,ypfG,b2466
CDS:b2543:yphA:DoxX_family_inner_membrane_protein:cds2525:+:422:NC_000913.3,WT0_WT90.WT90_dRpoS90,yphA,b2543
AS_CDS:b2544:yphB:mutarotase_superfamily_protein%2C_YphB_family:cds2526:-:872:NC_000913.3,WT0_WT90.WT90_dRpoS90,yphB,b2544
CDS:b2602:yfiL:lipoprotein:cds2580:+:365:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfiL,b2602
CDS:b2632:yfjP:CP4-57_prophage%3B_50S_ribosome-binding_GTPase_family_protein:cds2608:+:863:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfjP,b2632
AS_CDS:b2637:yfjT:CP4-57_prophage%3B_putative_periplasmic_protein:cds2613:+:467:NC_000913.3,WT0_WT90.WT90_dRpoS90,yfjT,b2637
"AS_IGR:(CDS,b2637,yfjT,CP4-57_prophage%3B_putative_periplasmic_protein,cds2613,+,467/CDS,b2638,yfjU,-,cds2614,-,152):+:325:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2647:ypjA:adhesin-like_autotransporter:cds2623:-:4580:NC_000913.3,WT0_WT90.WT90_dRpoS90,ypjA,b2647
"IGR:(CDS,b4462,ygaQ,-,cds2626,+,2252/CDS,b2659,csiD,carbon_starvation_protein,cds2627,+,977):+:284:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2659:csiD:carbon_starvation_protein:cds2627:+:977:NC_000913.3,WT0_WT90.WT90_dRpoS90,csiD,b2659
CDS:b2660:lhgO:L-2-hydroxyglutarate_oxidase:cds2628:+:1268:NC_000913.3,WT0_WT90.WT90_dRpoS90,lhgO,b2660
CDS:b2661:gabD:succinate-semialdehyde_dehydrogenase_I%2C_NADP-dependent:cds2629:+:1448:NC_000913.3,WT0_WT90.WT90_dRpoS90,gabD,b2661
CDS:b2662:gabT:4-aminobutyrate_aminotransferase%2C_PLP-dependent:cds2630:+:1280:NC_000913.3,WT0_WT90.WT90_dRpoS90,gabT,b2662
"IGR:(CDS,b2662,gabT,4-aminobutyrate_aminotransferase%2C_PLP-dependent,cds2630,+,1280/CDS,b2663,gabP,gamma-aminobutyrate_transporter,cds2631,+,1400):+:186:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2663:gabP:gamma-aminobutyrate_transporter:cds2631:+:1400:NC_000913.3,WT0_WT90.WT90_dRpoS90,gabP,b2663
CDS:b2664:csiR:transcriptional_repressor_of_csiD:cds2632:+:662:NC_000913.3,WT0_WT90.WT90_dRpoS90,csiR,b2664
AS_CDS:b2664:csiR:transcriptional_repressor_of_csiD:cds2632:+:662:NC_000913.3,WT0_WT90.WT90_dRpoS90,csiR,b2664
CDS:b2665:ygaU:uncharacterized_protein:cds2633:-:449:NC_000913.3,WT0_WT90.WT90_dRpoS90,ygaU,b2665
AS_CDS:b2665:ygaU:uncharacterized_protein:cds2633:-:449:NC_000913.3,WT0_WT90.WT90_dRpoS90,ygaU,b2665
"AS_IGR:(CDS,b2665,ygaU,uncharacterized_protein,cds2633,-,449/CDS,b2666,yqaE,cyaR_sRNA-regulated_protein,cds2634,-,158):+:32:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b2670:alaE:alanine_exporter%2C_alanine-inducible%2C_stress-responsive:cds2638:+:449:NC_000913.3,WT0_WT90.WT90_dRpoS90,alaE,b2670
"IGR:(CDS,b2671,ygaC,uncharacterized_protein,cds2639,-,344/CDS,b2672,ygaM,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2640,+,329):+:110:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_IGR:(CDS,b2671,ygaC,uncharacterized_protein,cds2639,-,344/CDS,b2672,ygaM,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2640,+,329):+:110:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2672:ygaM:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2640:+:329:NC_000913.3,WT0_WT90.WT90_dRpoS90,ygaM,b2672
"IGR:(CDS,b2672,ygaM,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2640,+,329/CDS,b2673,nrdH,hydrogen_donor_for_NrdEF_electron_transport_system%3B_glutaredoxin-like_protein,cds2641,+,245):+:196:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_ncRNA:b4442,ID:micA:sRNA_antisense_regulator_of_ompA%2C_lamB%2C_ompX%2C_and_phoP%3B_Hfq-dependent:id330:+:77:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2688:gshA:glutamate-cysteine_ligase:cds2655:-:1556:NC_000913.3,WT0_WT90.WT90_dRpoS90,gshA,b2688
CDS:b2731:fhlA:formate_hydrogenlyase_transcriptional_activator:cds2693:+:2078:NC_000913.3,WT0_WT90.WT90_dRpoS90,fhlA,b2731
"AS_IGR:(CDS,b2740,ygbN,putative_transporter,cds2702,+,1364/CDS,b2741,rpoS,RNA_polymerase%2C_sigma_S_sigma_38_factor,cds2703,-,992):+:32:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2741:rpoS:RNA_polymerase%2C_sigma_S_sigma_38_factor:cds2703:-:992:NC_000913.3,WT0_WT90.WT90_dRpoS90,rpoS,b2741
AS_CDS:b2741:rpoS:RNA_polymerase%2C_sigma_S_sigma_38_factor:cds2703:-:992:NC_000913.3,WT0_WT90.WT90_dRpoS90,rpoS,b2741
CDS:b2766:ygcN:putative_oxidoreductase:cds2728:+:1271:NC_000913.3,WT0_WT90.WT90_dRpoS90,ygcN,b2766
CDS:b2781:mazG:nucleoside_triphosphate_pyrophosphohydrolase:cds2743:-:791:NC_000913.3,WT0_WT90.WT90_dRpoS90,mazG,b2781
"AS_ncRNA:b4443,ID:gcvB:sRNA_antisense_regulator_represses_oppA%2C_dppA%2C_gltI_and_livJ_expression%2C_Hfq-dependent:id349:+:205:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2809:ygdI:DUF903_family_verified_lipoprotein:cds2771:-:227:NC_000913.3,WT0_WT90.WT90_dRpoS90,ygdI,b2809
"AS_IGR:(CDS,b2809,ygdI,DUF903_family_verified_lipoprotein,cds2771,-,227/CDS,b2810,csdA,cysteine_sulfinate_desulfinase,cds2772,+,1205):+:150:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b2843:kduI:hexuronate_isomerase:cds2802:-:836:NC_000913.3,WT0_WT90.WT90_dRpoS90,kduI,b2843
CDS:b4684:yqfG:uncharacterized_protein:cds2844:+:125:NC_000913.3,WT0_WT90.WT90_dRpoS90,yqfG,b4684
"IGR:(CDS,b4684,yqfG,uncharacterized_protein,cds2844,+,125/CDS,b2889,idi,isopentenyl_diphosphate_isomerase,cds2845,+,548):+:71:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b2906:ubiI:2-octaprenylphenol_hydroxylase%2C_FAD-dependent:cds2862:-:1202:NC_000913.3,WT0_WT90.WT90_dRpoS90,ubiI,b2906
CDS:b2922:yggE:oxidative_stress_defense_protein:cds2878:-:740:NC_000913.3,WT0_WT90.WT90_dRpoS90,yggE,b2922
"AS_IGR:(CDS,b2922,yggE,oxidative_stress_defense_protein,cds2878,-,740/CDS,b2923,argO,arginine_transporter,cds2879,-,635):+:41:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b2928:yggC:putative_PanK_family_P-loop_kinase:cds2884:-:713:NC_000913.3,WT0_WT90.WT90_dRpoS90,yggC,b2928
