Geneid,comparison,genename,bnum,group
CDS:b4016:aceK:isocitrate_dehydrogenase_kinase/phosphatase:cds3930:+:1736:NC_000913.3,WT0_WT30,aceK,b4016,NA
CDS:b4021:pepE:peptidase_E%2C_alpha-aspartyl_dipeptidase:cds3935:-:689:NC_000913.3,WT0_WT30,pepE,b4021,NA
"IGR:(CDS,b4031,xylE,D-xylose_transporter,cds3946,-,1475/CDS,b4032,malG,maltose_transporter_subunit,cds3947,-,890):+:320:NC_000913.3",WT0_WT30,NA,NA,NA
"AS_IGR:(CDS,b4031,xylE,D-xylose_transporter,cds3946,-,1475/CDS,b4032,malG,maltose_transporter_subunit,cds3947,-,890):+:320:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4032:malG:maltose_transporter_subunit:cds3947:-:890:NC_000913.3,WT0_WT30,malG,b4032,NA
"IGR:(CDS,b4033,malF,maltose_transporter_subunit,cds3948,-,1544/CDS,b4034,malE,maltose_transporter_subunit,cds3949,-,1190):+:102:NC_000913.3",WT0_WT30,NA,NA,NA
"AS_IGR:(CDS,b4033,malF,maltose_transporter_subunit,cds3948,-,1544/CDS,b4034,malE,maltose_transporter_subunit,cds3949,-,1190):+:102:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4036:lamB:maltose_outer_membrane_porin_maltoporin:cds3951:+:1340:NC_000913.3,WT0_WT30,lamB,b4036,NA
"IGR:(CDS,b4036,lamB,maltose_outer_membrane_porin_maltoporin,cds3951,+,1340/CDS,b4037,malM,maltose_regulon_periplasmic_protein,cds3952,+,920):+:191:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4037:malM:maltose_regulon_periplasmic_protein:cds3952:+:920:NC_000913.3,WT0_WT30,malM,b4037,NA
"IGR:(CDS,b4037,malM,maltose_regulon_periplasmic_protein,cds3952,+,920/CDS,-,yjbI,-,cds3953,+,182):+:177:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4060:yjcB:putative_inner_membrane_protein:cds3976:-:281:NC_000913.3,WT0_WT30,yjcB,b4060,NA
"AS_IGR:(CDS,b4060,yjcB,putative_inner_membrane_protein,cds3976,-,281/CDS,b4061,yjcC,putative_membrane-anchored_cyclic-di-GMP_phosphodiesterase,cds3977,+,1586):+:388:NC_000913.3",WT0_WT30,NA,NA,NA
"IGR:(CDS,b4077,gltP,glutamate/aspartate,proton_symporter,cds3993,+,1313/CDS,b4078,yjcO,Sel1_family_TPR-like_repeat_protein,cds3994,-,689):+:580:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4078:yjcO:Sel1_family_TPR-like_repeat_protein:cds3994:-:689:NC_000913.3,WT0_WT30,yjcO,b4078,NA
AS_CDS:b4078:yjcO:Sel1_family_TPR-like_repeat_protein:cds3994:-:689:NC_000913.3,WT0_WT30,yjcO,b4078,NA
"IGR:(CDS,b4111,proP,proline/glycine_betaine_transporter,cds4027,+,1502/CDS,b4703,pmrR,putative_membrane-bound_BasS_regulator,cds4028,+,89):+:60:NC_000913.3",WT0_WT30,NA,NA,NA
AS_CDS:b4112:basS:sensory_histidine_kinase_in_two-component_regulatory_system_with_BasR:cds4029:-:1091:NC_000913.3,WT0_WT30,basS,b4112,NA
CDS:b4129:lysU:lysine_tRNA_synthetase%2C_inducible:cds4047:-:1517:NC_000913.3,WT0_WT30,lysU,b4129,NA
"AS_IGR:(CDS,b4129,lysU,lysine_tRNA_synthetase%2C_inducible,cds4047,-,1517/CDS,b4130,dtpC,dipeptide_and_tripeptide_permease,cds4048,-,1457):+:185:NC_000913.3",WT0_WT30,NA,NA,NA
"AS_IGR:(CDS,b4137,cutA,divalent-cation_tolerance_protein%2C_copper_sensitivity,cds4055,-,338/CDS,b4138,dcuA,C4-dicarboxylate_antiporter,cds4056,-,1301):+:64:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4138:dcuA:C4-dicarboxylate_antiporter:cds4056:-:1301:NC_000913.3,WT0_WT30,dcuA,b4138,NA
CDS:b4144:yjeI:DUF4156_family_lipoprotein:cds4062:+:353:NC_000913.3,WT0_WT30,yjeI,b4144,NA
"IGR:(CDS,b4144,yjeI,DUF4156_family_lipoprotein,cds4062,+,353/CDS,b4145,yjeJ,uncharacterized_protein,cds4063,-,869):+:141:NC_000913.3",WT0_WT30,NA,NA,NA
AS_CDS:b4145:yjeJ:uncharacterized_protein:cds4063:-:869:NC_000913.3,WT0_WT30,yjeJ,b4145,NA
CDS:b4151:frdD:fumarate_reductase_anaerobic%2C_membrane_anchor_subunit:cds4071:-:359:NC_000913.3,WT0_WT30,frdD,b4151,NA
CDS:b4152:frdC:fumarate_reductase_anaerobic%2C_membrane_anchor_subunit:cds4072:-:395:NC_000913.3,WT0_WT30,frdC,b4152,NA
CDS:b4153:frdB:fumarate_reductase_anaerobic%2C_Fe-S_subunit:cds4073:-:734:NC_000913.3,WT0_WT30,frdB,b4153,NA
CDS:b4154:frdA:anaerobic_fumarate_reductase_catalytic_and_NAD/flavoprotein_subunit:cds4074:-:1808:NC_000913.3,WT0_WT30,frdA,b4154,NA
CDS:b4178:nsrR:nitric_oxide-sensitive_repressor_for_NO_regulon:cds4096:+:425:NC_000913.3,WT0_WT30,nsrR,b4178,NA
CDS:b4213:cpdB:2':3'-cyclic-nucleotide_2'-phosphodiesterase:cds4131:-:1943:NC_000913.3,WT0_WT30,NA,NA,NA
AS_CDS:b4236:cybC:-:cds4152:+:365:NC_000913.3,WT0_WT30,cybC,b4236,NA
CDS:b4237:nrdG:anaerobic_ribonucleotide_reductase_activating_protein:cds4153:-:464:NC_000913.3,WT0_WT30,nrdG,b4237,NA
"AS_IGR:(CDS,b4237,nrdG,anaerobic_ribonucleotide_reductase_activating_protein,cds4153,-,464/CDS,b4238,nrdD,anaerobic_ribonucleoside-triphosphate_reductase,cds4154,-,2138):+:106:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4238:nrdD:anaerobic_ribonucleoside-triphosphate_reductase:cds4154:-:2138:NC_000913.3,WT0_WT30,nrdD,b4238,NA
"AS_IGR:(CDS,b4238,nrdD,anaerobic_ribonucleoside-triphosphate_reductase,cds4154,-,2138/CDS,b4239,treC,trehalose-6-P_hydrolase,cds4155,-,1655):+:342:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4239:treC:trehalose-6-P_hydrolase:cds4155:-:1655:NC_000913.3,WT0_WT30,treC,b4239,NA
AS_CDS:b4239:treC:trehalose-6-P_hydrolase:cds4155:-:1655:NC_000913.3,WT0_WT30,treC,b4239,NA
CDS:b4240:treB:trehalose-specific_PTS_enzyme:_IIB_and_IIC_component:cds4156:-:1421:NC_000913.3,WT0_WT30,treB,b4240,NA
AS_CDS:b4240:treB:trehalose-specific_PTS_enzyme:_IIB_and_IIC_component:cds4156:-:1421:NC_000913.3,WT0_WT30,treB,b4240,NA
CDS:b4252:tabA:biofilm_modulator_regulated_by_toxins%3B_DUF386_family_protein%2C_cupin_superfamily_protein:cds4167:+:452:NC_000913.3,WT0_WT30,tabA,b4252,NA
"IGR:(CDS,b4252,tabA,biofilm_modulator_regulated_by_toxins%3B_DUF386_family_protein%2C_cupin_superfamily_protein,cds4167,+,452/CDS,b4253,yjgL,SopA-central-domain-like_hexapeptide_repeat_protein,cds4168,+,1814):+:71:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4269:ahr:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds4184:-:1019:NC_000913.3,WT0_WT30,ahr,b4269,NA
CDS:b4271:intB:-:cds4185:+:1265:NC_000913.3,WT0_WT30,intB,b4271,NA
CDS:b4280:yjhC:GFO/IDH/MOCA_family_putative_oxidoreductase._NADP-dependent:cds4192:+:1118:NC_000913.3,WT0_WT30,yjhC,b4280,NA
CDS:b4376:osmY:salt-inducible_putative_ABC_transporter_periplasmic_binding_protein:cds4290:+:605:NC_000913.3,WT0_WT30,osmY,b4376,NA
AS_CDS:b4380:yjjI:DUF3029_family_protein%2C_putative_glycine_radical_enzyme:cds4295:-:1550:NC_000913.3,WT0_WT30,yjjI,b4380,NA
"IGR:(CDS,b4380,yjjI,DUF3029_family_protein%2C_putative_glycine_radical_enzyme,cds4295,-,1550/CDS,b4381,deoC,2-deoxyribose-5-phosphate_aldolase%2C_NADP-linked,cds4296,+,779):+:216:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4381:deoC:2-deoxyribose-5-phosphate_aldolase%2C_NADP-linked:cds4296:+:779:NC_000913.3,WT0_WT30,deoC,b4381,NA
"IGR:(CDS,b4381,deoC,2-deoxyribose-5-phosphate_aldolase%2C_NADP-linked,cds4296,+,779/CDS,b4382,deoA,thymidine_phosphorylase,cds4297,+,1322):+:75:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4382:deoA:thymidine_phosphorylase:cds4297:+:1322:NC_000913.3,WT0_WT30,deoA,b4382,NA
"IGR:(CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65/CDS,b0002,thrA,Bifunctional_aspartokinase/homoserine_dehydrogenase_1,cds1,+,2462):+:30:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0007:yaaJ:putative_transporter:cds6:-:1430:NC_000913.3,WT0_WT60,yaaJ,b0007,NA
AS_CDS:b0009:mog:molybdochelatase_incorporating_molybdenum_into_molybdopterin:cds8:+:587:NC_000913.3,WT0_WT60,mog,b0009,NA
CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3,WT0_WT60,satP,b0010,NA
AS_CDS:b4412:hokC:toxic_membrane_protein%2C_small:cds16:-:152:NC_000913.3,WT0_WT60,hokC,b4412,NA
AS_CDS:b0018:mokC:regulatory_protein_for_HokC%2C_overlaps_CDS_of_hokC:cds15:-:209:NC_000913.3,WT0_WT60,mokC,b0018,NA
CDS:b0021:insB1:IS1_transposase_B:cds19:-:503:NC_000913.3,WT0_WT60,insB1,b0021,NA
"IGR:(CDS,b0022,insA,IS1_repressor_TnpA,cds20,-,275/CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263):+:255:NC_000913.3",WT0_WT60,NA,NA,NA
"AS_IGR:(CDS,b0022,insA,IS1_repressor_TnpA,cds20,-,275/CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263):+:255:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3,WT0_WT60,rpsT,b0023,NA
AS_CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3,WT0_WT60,rpsT,b0023,NA
"AS_IGR:(CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263/CDS,b0024,yaaY,uncharacterized_protein,cds22,+,218):+:61:NC_000913.3",WT0_WT60,NA,NA,NA
AS_CDS:b0024:yaaY:uncharacterized_protein:cds22:+:218:NC_000913.3,WT0_WT60,yaaY,b0024,NA
CDS:b0030:rihC:ribonucleoside_hydrolase_3:cds28:+:914:NC_000913.3,WT0_WT60,rihC,b0030,NA
CDS:b0032:carA:carbamoyl_phosphate_synthetase_small_subunit%2C_glutamine_amidotransferase:cds30:+:1148:NC_000913.3,WT0_WT60,carA,b0032,NA
CDS:b0033:carB:carbamoyl-phosphate_synthase_large_subunit:cds31:+:3221:NC_000913.3,WT0_WT60,carB,b0033,NA
"IGR:(CDS,b0033,carB,carbamoyl-phosphate_synthase_large_subunit,cds31,+,3221/CDS,b0034,caiF,cai_operon_transcriptional_activator,cds32,+,395):+:210:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0034:caiF:cai_operon_transcriptional_activator:cds32:+:395:NC_000913.3,WT0_WT60,caiF,b0034,NA
"IGR:(CDS,b0034,caiF,cai_operon_transcriptional_activator,cds32,+,395/CDS,b0035,caiE,stimulator_of_CaiD_and_CaiB_enzyme_activities,cds33,-,590):+:24:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:-:yabP:-:cds54:+:578:NC_000913.3,WT0_WT60,yabP,NA,NA
gene:b4659:yabP:-:gene55:+:805:NC_000913.3,WT0_WT60,NA,NA,NA
"AS_IGR:(CDS,-,yabP,-,cds54,+,227/CDS,b0058,rluA,dual_specificity_23S_rRNA_pseudouridine746%2C_tRNA_pseudouridine32_synthase%2C_SAM-dependent,cds55,-,659):+:346:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0058:rluA:dual_specificity_23S_rRNA_pseudouridine746%2C_tRNA_pseudouridine32_synthase%2C_SAM-dependent:cds55:-:659:NC_000913.3,WT0_WT60,rluA,b0058,NA
CDS:b0059:rapA:RNA_polymerase_remodeling/recycling_factor_ATPase%3B_RNA_polymerase-associated%2C_ATP-dependent_RNA_translocase:cds56:-:2906:NC_000913.3,WT0_WT60,rapA,b0059,NA
"ncRNA:b4577,ID:sgrS:sRNA_antisense_regulator_destabilzes_ptsG_mRNA%2C_Hfq-dependent%3B_regulated_by_sgrR:id11:+:226:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b4662:sgrT:inhibitor_of_glucose_uptake:cds67:+:131:NC_000913.3,WT0_WT60,sgrT,b4662,NA
CDS:b0091:murC:UDP-N-acetylmuramate:L-alanine_ligase:cds88:+:1475:NC_000913.3,WT0_WT60,murC,b0091,NA
CDS:b0099:mutT:dGTP-preferring_nucleoside_triphosphate_pyrophosphohydrolase:cds96:+:389:NC_000913.3,WT0_WT60,mutT,b0099,NA
AS_CDS:b0101:yacG:DNA_gyrase_inhibitor:cds97:-:197:NC_000913.3,WT0_WT60,yacG,b0101,NA
CDS:b0110:ampD:1%2C6-anhydro-N-acetylmuramyl-L-alanine_amidase%2C_Zn-dependent%3B_murein_amidase:cds105:+:551:NC_000913.3,WT0_WT60,ampD,b0110,NA
CDS:b0112:aroP:aromatic_amino_acid_transporter:cds107:-:1373:NC_000913.3,WT0_WT60,aroP,b0112,NA
AS_CDS:b0112:aroP:aromatic_amino_acid_transporter:cds107:-:1373:NC_000913.3,WT0_WT60,aroP,b0112,NA
CDS:b0117:yacH:DUF3300_family_protein:cds112:-:1853:NC_000913.3,WT0_WT60,yacH,b0117,NA
CDS:b0118:acnB:aconitate_hydratase_2%3B_aconitase_B%3B_2-methyl-cis-aconitate_hydratase:cds113:+:2597:NC_000913.3,WT0_WT60,acnB,b0118,NA
"IGR:(CDS,b0118,acnB,aconitate_hydratase_2%3B_aconitase_B%3B_2-methyl-cis-aconitate_hydratase,cds113,+,2597/CDS,b0119,yacL,UPF0231_family_protein,cds114,+,362):+:124:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0123:cueO:multicopper_oxidase_laccase:cds118:+:1550:NC_000913.3,WT0_WT60,cueO,b0123,NA
AS_CDS:b0123:cueO:multicopper_oxidase_laccase:cds118:+:1550:NC_000913.3,WT0_WT60,cueO,b0123,NA
"AS_IGR:(CDS,b0123,cueO,multicopper_oxidase_laccase,cds118,+,1550/CDS,b0124,gcd,glucose_dehydrogenase,cds119,-,2390):+:140:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0124:gcd:glucose_dehydrogenase:cds119:-:2390:NC_000913.3,WT0_WT60,gcd,b0124,NA
CDS:b0125:hpt:hypoxanthine_phosphoribosyltransferase:cds120:+:536:NC_000913.3,WT0_WT60,hpt,b0125,NA
AS_CDS:b0126:can:carbonic_anhydrase:cds121:-:662:NC_000913.3,WT0_WT60,can,b0126,NA
CDS:b0141:yadN:putative_fimbrial-like_adhesin_protein:cds136:-:584:NC_000913.3,WT0_WT60,yadN,b0141,NA
CDS:b0153:fhuB:iron3+-hydroxamate_import_ABC_transporter_permease:cds148:+:1982:NC_000913.3,WT0_WT60,fhuB,b0153,NA
CDS:b0162:cdaR:carbohydrate_diacid_regulon_transcriptional_regulator%3B_autoregulator:cds157:+:1157:NC_000913.3,WT0_WT60,cdaR,b0162,NA
"IGR:(CDS,b0162,cdaR,carbohydrate_diacid_regulon_transcriptional_regulator%3B_autoregulator,cds157,+,1157/CDS,b0163,yaeH,UPF0325_family_protein,cds158,-,386):+:27:NC_000913.3",WT0_WT60,NA,NA,NA
"AS_IGR:(CDS,b0162,cdaR,carbohydrate_diacid_regulon_transcriptional_regulator%3B_autoregulator,cds157,+,1157/CDS,b0163,yaeH,UPF0325_family_protein,cds158,-,386):+:27:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0163:yaeH:UPF0325_family_protein:cds158:-:386:NC_000913.3,WT0_WT60,yaeH,b0163,NA
AS_CDS:b0163:yaeH:UPF0325_family_protein:cds158:-:386:NC_000913.3,WT0_WT60,yaeH,b0163,NA
"IGR:(CDS,b0169,rpsB,30S_ribosomal_subunit_protein_S2,cds163,+,725/CDS,b0170,tsf,translation_elongation_factor_EF-Ts,cds164,+,851):+:206:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0170:tsf:translation_elongation_factor_EF-Ts:cds164:+:851:NC_000913.3,WT0_WT60,tsf,b0170,NA
"IGR:(CDS,b0170,tsf,translation_elongation_factor_EF-Ts,cds164,+,851/CDS,b0171,pyrH,uridylate_kinase,cds165,+,725):+:95:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0180:fabZ:3R-hydroxymyristol_acyl_carrier_protein_dehydratase:cds174:+:455:NC_000913.3,WT0_WT60,fabZ,b0180,NA
CDS:b0183:rnhB:ribonuclease_HII%2C_degrades_RNA_of_DNA-RNA_hybrids:cds177:+:596:NC_000913.3,WT0_WT60,rnhB,b0183,NA
CDS:b0184:dnaE:DNA_polymerase_III_alpha_subunit:cds178:+:3482:NC_000913.3,WT0_WT60,dnaE,b0184,NA
CDS:b0198:metI:DL-methionine_transporter_subunit:cds193:-:653:NC_000913.3,WT0_WT60,metI,b0198,NA
CDS:b0199:metN:DL-methionine_transporter_subunit:cds194:-:1031:NC_000913.3,WT0_WT60,metN,b0199,NA
CDS:b0217:yafT:lipoprotein:cds205:+:785:NC_000913.3,WT0_WT60,yafT,b0217,NA
"IGR:(CDS,b0217,yafT,lipoprotein,cds205,+,785/CDS,b4586,ykfM,lethality_reduction_protein%2C_putative_inner_membrane_protein,cds206,-,479):+:75:NC_000913.3",WT0_WT60,NA,NA,NA
AS_CDS:b4586:ykfM:lethality_reduction_protein%2C_putative_inner_membrane_protein:cds206:-:479:NC_000913.3,WT0_WT60,ykfM,b4586,NA
CDS:b0220:ivy:inhibitor_of_c-type_lysozyme%2C_periplasmic:cds210:+:473:NC_000913.3,WT0_WT60,ivy,b0220,NA
AS_CDS:b0220:ivy:inhibitor_of_c-type_lysozyme%2C_periplasmic:cds210:+:473:NC_000913.3,WT0_WT60,ivy,b0220,NA
CDS:b0221:fadE:acyl_coenzyme_A_dehydrogenase:cds211:-:2444:NC_000913.3,WT0_WT60,fadE,b0221,NA
"IGR:(CDS,b0222,gmhA,D-sedoheptulose_7-phosphate_isomerase,cds212,+,578/CDS,b0223,yafJ,type_2_glutamine_amidotransferase_family_protein,cds213,+,767):+:154:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0225:yafQ:mRNA_interferase_toxin_of_toxin-antitoxin_pair_YafQ/DinJ:cds215:-:278:NC_000913.3,WT0_WT60,yafQ,b0225,NA
CDS:b0226:dinJ:antitoxin_of_YafQ-DinJ_toxin-antitoxin_system:cds216:-:260:NC_000913.3,WT0_WT60,dinJ,b0226,NA
"AS_IGR:(CDS,b0226,dinJ,antitoxin_of_YafQ-DinJ_toxin-antitoxin_system,cds216,-,260/CDS,b0227,yafL,putative_lipoprotein_and_C40_family_peptidase,cds217,+,749):+:168:NC_000913.3",WT0_WT60,NA,NA,NA
AS_CDS:b4626:ykfN:-:cds234:-:62:NC_000913.3,WT0_WT60,ykfN,b4626,NA
"IGR:(CDS,b4626,ykfN,-,cds234,-,62/CDS,b0245,ykfI,CP4-6_prophage%3B_toxin_of_the_YkfI-YafW_toxin-antitoxin_system,cds235,-,341):+:64:NC_000913.3",WT0_WT60,NA,NA,NA
AS_CDS:b0245:ykfI:CP4-6_prophage%3B_toxin_of_the_YkfI-YafW_toxin-antitoxin_system:cds235:-:341:NC_000913.3,WT0_WT60,ykfI,b0245,NA
CDS:b0287:yagU:DUF1440_family_inner_membrane_acid_resistance_protein:cds283:+:614:NC_000913.3,WT0_WT60,yagU,b0287,NA
"IGR:(CDS,b0287,yagU,DUF1440_family_inner_membrane_acid_resistance_protein,cds283,+,614/CDS,b0288,ykgJ,UPF0153_cysteine_cluster_protein,cds284,-,329):+:186:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0289:ecpE:ECP_production_pilus_chaperone:cds285:-:710:NC_000913.3,WT0_WT60,ecpE,b0289,NA
CDS:b4506:ykgO:RpmJ-like_protein:cds292:-:140:NC_000913.3,WT0_WT60,ykgO,b4506,NA
CDS:b0296:ykgM:50S_ribosomal_protein_L31_type_B%3B_alternative_zinc-limitation_L31_protein:cds293:-:263:NC_000913.3,WT0_WT60,ykgM,b0296,NA
AS_mobile_genetic_element:-:-:-:id48:+:1254:NC_000913.3,WT0_WT60,NA,NA,NA
AS_CDS:b0299:insF1:IS3_transposase_B:cds298:+:866:NC_000913.3,WT0_WT60,insF1,b0299,NA
CDS:b0300:ykgA:-:cds299:-:683:NC_000913.3,WT0_WT60,ykgA,b0300,NA
"IGR:(CDS,b0305,rclR,reactive_chlorine_species_RCS-specific_activator_of_the_rcl_genes,cds304,+,854/CDS,b0306,ykgE,cysteine-rich_LutA_family_protein%3B_putative_electron_transport_chain_YkgEFG_component,cds305,+,719):+:475:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0306:ykgE:cysteine-rich_LutA_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds305:+:719:NC_000913.3,WT0_WT60,ykgE,b0306,NA
CDS:b0307:ykgF:ferridoxin-like_LutB_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds306:+:1427:NC_000913.3,WT0_WT60,ykgF,b0307,NA
CDS:b0308:ykgG:LutC_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds307:+:695:NC_000913.3,WT0_WT60,ykgG,b0308,NA
"IGR:(CDS,b0308,ykgG,LutC_family_protein%3B_putative_electron_transport_chain_YkgEFG_component,cds307,+,695/CDS,b0310,ykgH,putative_inner_membrane_protein,cds308,-,668):+:181:NC_000913.3",WT0_WT60,NA,NA,NA
AS_CDS:b0310:ykgH:putative_inner_membrane_protein:cds308:-:668:NC_000913.3,WT0_WT60,ykgH,b0310,NA
CDS:b0318:yahD:ankyrin_repeat_protein:cds316:+:605:NC_000913.3,WT0_WT60,yahD,b0318,NA
"AS_IGR:(CDS,b0321,yahG,DUF1116_family_protein,cds319,+,1418/CDS,b0323,yahI,carbamate_kinase-like_protein,cds320,+,950):+:370:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0325:yahK:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds322:+:1049:NC_000913.3,WT0_WT60,yahK,b0325,NA
"IGR:(CDS,b0328,yahN,amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine,cds325,-,671/CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275):+:105:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3,WT0_WT60,yahO,b0329,NA
"IGR:(CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275/CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586):+:36:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3,WT0_WT60,prpR,b0330,NA
AS_CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3,WT0_WT60,prpR,b0330,NA
CDS:b0337:codA:cytosine/isoguanine_deaminase:cds333:+:1283:NC_000913.3,WT0_WT60,codA,b0337,NA
"IGR:(CDS,b0337,codA,cytosine/isoguanine_deaminase,cds333,+,1283/CDS,b0338,cynR,transcriptional_activator_of_cyn_operon%3B_autorepressor,cds334,-,899):+:275:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0344:lacZ:beta-D-galactosidase:cds340:-:3074:NC_000913.3,WT0_WT60,lacZ,b0344,NA
AS_CDS:b0365:tauA:taurine_ABC_transporter_periplasmic_binding_protein:cds360:+:962:NC_000913.3,WT0_WT60,tauA,b0365,NA
AS_CDS:b0372:insF1:IS3_transposase_B:cds366:-:866:NC_000913.3,WT0_WT60,insF1,b0372,NA
AS_mobile_genetic_element:-:-:-:id60:-:1257:NC_000913.3,WT0_WT60,NA,NA,NA
"IGR:(CDS,b0381,ddlA,D-alanine-D-alanine_ligase_A,cds374,-,1094/CDS,b0382,iraP,anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein,cds375,+,260):+:421:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0382:iraP:anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein:cds375:+:260:NC_000913.3,WT0_WT60,iraP,b0382,NA
"IGR:(CDS,b0382,iraP,anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein,cds375,+,260/CDS,b0383,phoA,bacterial_alkaline_phosphatase,cds376,+,1415):+:49:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0383:phoA:bacterial_alkaline_phosphatase:cds376:+:1415:NC_000913.3,WT0_WT60,phoA,b0383,NA
"IGR:(CDS,b0383,phoA,bacterial_alkaline_phosphatase,cds376,+,1415/CDS,b0384,psiF,PsiF_family_protein,cds377,+,320):+:67:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0384:psiF:PsiF_family_protein:cds377:+:320:NC_000913.3,WT0_WT60,psiF,b0384,NA
"IGR:(CDS,b0384,psiF,PsiF_family_protein,cds377,+,320/CDS,b0385,yaiC,diguanylate_cyclase%2C_cellulose_regualtor,cds378,+,1115):+:50:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0388:aroL:shikimate_kinase_II:cds381:+:524:NC_000913.3,WT0_WT60,aroL,b0388,NA
CDS:b0390:aroM:AroM_family_protein:cds383:+:677:NC_000913.3,WT0_WT60,aroM,b0390,NA
AS_CDS:b0392:ykiA:-:cds385:+:341:NC_000913.3,WT0_WT60,ykiA,b0392,NA
CDS:b0394:mak:mannofructokinase:cds387:+:908:NC_000913.3,WT0_WT60,mak,b0394,NA
CDS:b0402:proY:proline-specific_permease:cds394:+:1373:NC_000913.3,WT0_WT60,proY,b0402,NA
"IGR:(CDS,b0402,proY,proline-specific_permease,cds394,+,1373/CDS,b0403,malZ,maltodextrin_glucosidase,cds395,+,1814):+:107:NC_000913.3",WT0_WT60,NA,NA,NA
CDS:b0405:queA:S-adenosylmethionine:tRNA_ribosyltransferase-isomerase:cds397:+:1070:NC_000913.3,WT0_WT60,queA,b0405,NA
CDS:b0406:tgt:tRNA-guanine_transglycosylase:cds398:+:1127:NC_000913.3,WT0_WT60,tgt,b0406,NA
"IGR:(CDS,b0409,secF,SecYEG_protein_translocase_auxillary_subunit,cds401,+,971/CDS,b0410,yajD,HNH_nuclease_family_protein,cds402,+,347):+:77:NC_000913.3",WT0_WT60,NA,NA,NA
"AS_IGR:(CDS,b0409,secF,SecYEG_protein_translocase_auxillary_subunit,cds401,+,971/CDS,b0410,yajD,HNH_nuclease_family_protein,cds402,+,347):+:77:NC_000913.3",WT0_WT60,NA,NA,NA
AS_CDS:b0410:yajD:HNH_nuclease_family_protein:cds402:+:347:NC_000913.3,WT0_WT60,yajD,b0410,NA
