Geneid,comparison,genename,bnum
CDS:b3355:prkB:putative_phosphoribulokinase:cds3293:+:869:NC_000913.3,WT0_WT90,prkB,b3355
AS_CDS:b3356:yhfA:OsmC_family_protein:cds3294:-:404:NC_000913.3,WT0_WT90,yhfA,b3356
CDS:b3359:argD:bifunctional_acetylornithine_aminotransferase_and_succinyldiaminopimelate_aminotransferase:cds3297:-:1220:NC_000913.3,WT0_WT90,argD,b3359
CDS:b3361:fic:stationary_phase-induced_protein%2C_putative_toxin:cds3299:-:602:NC_000913.3,WT0_WT90,fic,b3361
CDS:b3362:yhfG:putative_antitoxin_for_Fic:cds3300:-:167:NC_000913.3,WT0_WT90,yhfG,b3362
"IGR:(CDS,b3363,ppiA,peptidyl-prolyl_cis-trans_isomerase_A_rotamase_A,cds3301,-,572/CDS,b3364,tsgA,putative_transporter,cds3302,+,1181):+:229:NC_000913.3",WT0_WT90,NA,NA
CDS:b3364:tsgA:putative_transporter:cds3302:+:1181:NC_000913.3,WT0_WT90,tsgA,b3364
"IGR:(CDS,b3364,tsgA,putative_transporter,cds3302,+,1181/CDS,b3365,nirB,nitrite_reductase%2C_large_subunit%2C_NADPH-binding,cds3303,+,2543):+:210:NC_000913.3",WT0_WT90,NA,NA
"IGR:(CDS,b3368,cysG,fused_siroheme_synthase_1%2C3-dimethyluroporphyriongen_III_dehydrogenase_and_siroheme_ferrochelatase/uroporphyrinogen_methyltransferase,cds3306,+,1373/CDS,b3369,yhfL,small_lipoprotein,cds3307,+,167):+:195:NC_000913.3",WT0_WT90,NA,NA
CDS:b3371:frlB:fructoselysine-6-P-deglycase:cds3309:+:1022:NC_000913.3,WT0_WT90,frlB,b3371
CDS:b3387:dam:DNA_adenine_methyltransferase:cds3324:-:836:NC_000913.3,WT0_WT90,dam,b3387
"AS_IGR:(CDS,b3389,aroB,3-dehydroquinate_synthase,cds3326,-,1088/CDS,b3390,aroK,shikimate_kinase_I,cds3327,-,521):+:5:NC_000913.3",WT0_WT90,NA,NA
CDS:b3390:aroK:shikimate_kinase_I:cds3327:-:521:NC_000913.3,WT0_WT90,aroK,b3390
AS_CDS:b3390:aroK:shikimate_kinase_I:cds3327:-:521:NC_000913.3,WT0_WT90,aroK,b3390
"IGR:(CDS,b3390,aroK,shikimate_kinase_I,cds3327,-,521/CDS,b3391,hofQ,DNA_catabolic_putative_fimbrial_transporter,cds3328,-,1238):+:349:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3390,aroK,shikimate_kinase_I,cds3327,-,521/CDS,b3391,hofQ,DNA_catabolic_putative_fimbrial_transporter,cds3328,-,1238):+:349:NC_000913.3",WT0_WT90,NA,NA
CDS:b3396:mrcA:penicillin-binding_protein_1a%2C_murein_transglycosylase_and_transpeptidase:cds3333:+:2552:NC_000913.3,WT0_WT90,mrcA,b3396
AS_CDS:b3396:mrcA:penicillin-binding_protein_1a%2C_murein_transglycosylase_and_transpeptidase:cds3333:+:2552:NC_000913.3,WT0_WT90,mrcA,b3396
"IGR:(CDS,b3396,mrcA,penicillin-binding_protein_1a%2C_murein_transglycosylase_and_transpeptidase,cds3333,+,2552/CDS,b3397,nudE,adenosine_nucleotide_hydrolase%3B_Ap3A/Ap2A/ADP-ribose/NADH_hydrolase,cds3334,-,560):+:104:NC_000913.3",WT0_WT90,NA,NA
CDS:b3397:nudE:adenosine_nucleotide_hydrolase%3B_Ap3A/Ap2A/ADP-ribose/NADH_hydrolase:cds3334:-:560:NC_000913.3,WT0_WT90,nudE,b3397
AS_CDS:b3397:nudE:adenosine_nucleotide_hydrolase%3B_Ap3A/Ap2A/ADP-ribose/NADH_hydrolase:cds3334:-:560:NC_000913.3,WT0_WT90,nudE,b3397
"IGR:(CDS,b3402,yhgE,DUF4153_family_putative_inner_membrane_protein,cds3339,-,1724/CDS,b3403,pck,phosphoenolpyruvate_carboxykinase_[ATP],cds3340,+,1622):+:337:NC_000913.3",WT0_WT90,NA,NA
CDS:b3403:pck:phosphoenolpyruvate_carboxykinase_[ATP]:cds3340:+:1622:NC_000913.3,WT0_WT90,pck,b3403
"IGR:(CDS,b3403,pck,phosphoenolpyruvate_carboxykinase_[ATP],cds3340,+,1622/CDS,b3404,envZ,sensory_histidine_kinase_in_two-component_regulatory_system_with_OmpR,cds3341,-,1352):+:14:NC_000913.3",WT0_WT90,NA,NA
CDS:b3404:envZ:sensory_histidine_kinase_in_two-component_regulatory_system_with_OmpR:cds3341:-:1352:NC_000913.3,WT0_WT90,envZ,b3404
AS_CDS:b3404:envZ:sensory_histidine_kinase_in_two-component_regulatory_system_with_OmpR:cds3341:-:1352:NC_000913.3,WT0_WT90,envZ,b3404
CDS:b3405:ompR:response_regulator_in_two-component_regulatory_system_with_EnvZ:cds3342:-:719:NC_000913.3,WT0_WT90,ompR,b3405
"AS_IGR:(CDS,b3405,ompR,response_regulator_in_two-component_regulatory_system_with_EnvZ,cds3342,-,719/CDS,b3406,greB,transcript_cleavage_factor,cds3343,+,476):+:186:NC_000913.3",WT0_WT90,NA,NA
AS_CDS:b3406:greB:transcript_cleavage_factor:cds3343:+:476:NC_000913.3,WT0_WT90,greB,b3406
CDS:b3410:feoC:putative_DNA-binding_transcriptional_regulator:cds3347:+:236:NC_000913.3,WT0_WT90,feoC,b3410
CDS:b3412:bioH:pimeloyl-ACP_methyl_ester_carboxylesterase:cds3349:-:770:NC_000913.3,WT0_WT90,bioH,b3412
CDS:b3415:gntT:gluconate_transporter%2C_high-affinity_GNT_I_system:cds3352:+:1316:NC_000913.3,WT0_WT90,gntT,b3415
"IGR:(CDS,b3415,gntT,gluconate_transporter%2C_high-affinity_GNT_I_system,cds3352,+,1316/CDS,b3416,malQ,4-alpha-glucanotransferase_amylomaltase,cds3353,-,2084):+:49:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3415,gntT,gluconate_transporter%2C_high-affinity_GNT_I_system,cds3352,+,1316/CDS,b3416,malQ,4-alpha-glucanotransferase_amylomaltase,cds3353,-,2084):+:49:NC_000913.3",WT0_WT90,NA,NA
CDS:b3416:malQ:4-alpha-glucanotransferase_amylomaltase:cds3353:-:2084:NC_000913.3,WT0_WT90,malQ,b3416
AS_CDS:b3416:malQ:4-alpha-glucanotransferase_amylomaltase:cds3353:-:2084:NC_000913.3,WT0_WT90,malQ,b3416
"AS_IGR:(CDS,b3421,rtcB,RNA-splicing_ligase,cds3357,-,1226/CDS,b3422,rtcR,sigma_54-dependent_transcriptional_regulator_of_rtcBA_expression,cds3358,+,1598):+:147:NC_000913.3",WT0_WT90,NA,NA
AS_CDS:b3422:rtcR:sigma_54-dependent_transcriptional_regulator_of_rtcBA_expression:cds3358:+:1598:NC_000913.3,WT0_WT90,rtcR,b3422
CDS:b3424:glpG:rhomboid_intramembrane_serine_protease:cds3360:-:830:NC_000913.3,WT0_WT90,glpG,b3424
AS_CDS:b3424:glpG:rhomboid_intramembrane_serine_protease:cds3360:-:830:NC_000913.3,WT0_WT90,glpG,b3424
CDS:b3426:glpD:sn-glycerol-3-phosphate_dehydrogenase%2C_aerobic%2C_FAD/NADP-binding:cds3362:+:1505:NC_000913.3,WT0_WT90,glpD,b3426
"AS_IGR:(CDS,b3427,yzgL,-,cds3363,-,218/CDS,b3428,glgP,glycogen_phosphorylase,cds3364,-,2447):+:77:NC_000913.3",WT0_WT90,NA,NA
CDS:b3428:glgP:glycogen_phosphorylase:cds3364:-:2447:NC_000913.3,WT0_WT90,glgP,b3428
CDS:b3429:glgA:glycogen_synthase:cds3365:-:1433:NC_000913.3,WT0_WT90,glgA,b3429
CDS:b3430:glgC:glucose-1-phosphate_adenylyltransferase:cds3366:-:1295:NC_000913.3,WT0_WT90,glgC,b3430
AS_CDS:b3430:glgC:glucose-1-phosphate_adenylyltransferase:cds3366:-:1295:NC_000913.3,WT0_WT90,glgC,b3430
CDS:b3431:glgX:glycogen_debranching_enzyme:cds3367:-:1973:NC_000913.3,WT0_WT90,glgX,b3431
CDS:b3432:glgB:1%2C4-alpha-glucan_branching_enzyme:cds3368:-:2186:NC_000913.3,WT0_WT90,glgB,b3432
"AS_IGR:(CDS,b3432,glgB,1%2C4-alpha-glucan_branching_enzyme,cds3368,-,2186/CDS,b3433,asd,aspartate-semialdehyde_dehydrogenase%2C_NADP-binding,cds3369,-,1103):+:221:NC_000913.3",WT0_WT90,NA,NA
CDS:b3433:asd:aspartate-semialdehyde_dehydrogenase%2C_NADP-binding:cds3369:-:1103:NC_000913.3,WT0_WT90,asd,b3433
"IGR:(CDS,b3433,asd,aspartate-semialdehyde_dehydrogenase%2C_NADP-binding,cds3369,-,1103/CDS,b3434,yhgN,UPF0056_family_inner_membrane_protein,cds3370,+,593):+:151:NC_000913.3",WT0_WT90,NA,NA
CDS:b3434:yhgN:UPF0056_family_inner_membrane_protein:cds3370:+:593:NC_000913.3,WT0_WT90,yhgN,b3434
CDS:b4476:gntU:gluconate_transporter%2C_low_affinity_GNT_1_system:cds3371:-:1340:NC_000913.3,WT0_WT90,gntU,b4476
AS_CDS:b4476:gntU:gluconate_transporter%2C_low_affinity_GNT_1_system:cds3371:-:1340:NC_000913.3,WT0_WT90,gntU,b4476
CDS:b3437:gntK:gluconate_kinase_2:cds3372:-:527:NC_000913.3,WT0_WT90,gntK,b3437
"AS_IGR:(CDS,b3437,gntK,gluconate_kinase_2,cds3372,-,527/CDS,b3438,gntR,d-gluconate_inducible_gluconate_regulon_transcriptional_repressor,cds3373,-,995):+:87:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3438,gntR,d-gluconate_inducible_gluconate_regulon_transcriptional_repressor,cds3373,-,995/CDS,b3439,yhhW,quercetinase_activity_in_vitro,cds3374,-,695):+:172:NC_000913.3",WT0_WT90,NA,NA
CDS:b3439:yhhW:quercetinase_activity_in_vitro:cds3374:-:695:NC_000913.3,WT0_WT90,yhhW,b3439
"AS_IGR:(CDS,b3439,yhhW,quercetinase_activity_in_vitro,cds3374,-,695/CDS,b3440,yhhX,putative_oxidoreductase,cds3375,-,1037):+:71:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3440,yhhX,putative_oxidoreductase,cds3375,-,1037/ncRNA,b4451,ID,ryhB,sRNA_antisense_regulator_mediating_positive_Fur_regulon_response%2C_Hfq-dependent%3B_global_iron_regulator,id431,-,89):+:100:NC_000913.3",WT0_WT90,NA,NA
"ncRNA:b4451,ID:ryhB:sRNA_antisense_regulator_mediating_positive_Fur_regulon_response%2C_Hfq-dependent%3B_global_iron_regulator:id431:-:89:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(ncRNA,b4451,ID,ryhB,sRNA_antisense_regulator_mediating_positive_Fur_regulon_response%2C_Hfq-dependent%3B_global_iron_regulator,id431,-,89/CDS,b3441,yhhY,aminoacyl_nucleotide_detoxifying_acetyltransferase,cds3376,+,488):+:100:NC_000913.3",WT0_WT90,NA,NA
CDS:b3441:yhhY:aminoacyl_nucleotide_detoxifying_acetyltransferase:cds3376:+:488:NC_000913.3,WT0_WT90,yhhY,b3441
"IGR:(CDS,b3441,yhhY,aminoacyl_nucleotide_detoxifying_acetyltransferase,cds3376,+,488/CDS,b3442,yhhZ,putative_Hcp1_family_polymorphic_toxin_protein%3B_putative_colicin-like_DNase/tRNase_activity,cds3377,+,1178):+:185:NC_000913.3",WT0_WT90,NA,NA
mobile_genetic_element:-:-:-:id432:+:767:NC_000913.3,WT0_WT90,NA,NA
CDS:b3444:insA:IS1_repressor_TnpA:cds3379:+:275:NC_000913.3,WT0_WT90,insA,b3444
CDS:b3445:insB1:IS1_transposase_B:cds3380:+:503:NC_000913.3,WT0_WT90,insB1,b3445
AS_CDS:b3446:yrhB:stable_heat_shock_chaperone:cds3381:+:284:NC_000913.3,WT0_WT90,yrhB,b3446
CDS:b3447:ggt:gamma-glutamyltranspeptidase:cds3382:-:1742:NC_000913.3,WT0_WT90,ggt,b3447
"AS_IGR:(CDS,b3447,ggt,gamma-glutamyltranspeptidase,cds3382,-,1742/CDS,b3448,yhhA,DUF2756_family_protein,cds3383,+,440):+:78:NC_000913.3",WT0_WT90,NA,NA
CDS:b3448:yhhA:DUF2756_family_protein:cds3383:+:440:NC_000913.3,WT0_WT90,yhhA,b3448
AS_CDS:b3448:yhhA:DUF2756_family_protein:cds3383:+:440:NC_000913.3,WT0_WT90,yhhA,b3448
CDS:b3449:ugpQ:glycerophosphodiester_phosphodiesterase%2C_cytosolic:cds3384:-:743:NC_000913.3,WT0_WT90,ugpQ,b3449
AS_CDS:b3449:ugpQ:glycerophosphodiester_phosphodiesterase%2C_cytosolic:cds3384:-:743:NC_000913.3,WT0_WT90,ugpQ,b3449
CDS:b3450:ugpC:sn-glycerol-3-phosphate_ABC_transporter_ATPase:cds3385:-:1070:NC_000913.3,WT0_WT90,ugpC,b3450
CDS:b3451:ugpE:sn-glycerol-3-phosphate_ABC_transporter_permease:cds3386:-:845:NC_000913.3,WT0_WT90,ugpE,b3451
CDS:b3452:ugpA:sn-glycerol-3-phosphate_ABC_transporter_permease:cds3387:-:887:NC_000913.3,WT0_WT90,ugpA,b3452
"AS_IGR:(CDS,b3452,ugpA,sn-glycerol-3-phosphate_ABC_transporter_permease,cds3387,-,887/CDS,b3453,ugpB,sn-glycerol-3-phosphate_ABC_transporter_periplasmic_binding_protein,cds3388,-,1316):+:46:NC_000913.3",WT0_WT90,NA,NA
CDS:b3453:ugpB:sn-glycerol-3-phosphate_ABC_transporter_periplasmic_binding_protein:cds3388:-:1316:NC_000913.3,WT0_WT90,ugpB,b3453
AS_CDS:b3453:ugpB:sn-glycerol-3-phosphate_ABC_transporter_periplasmic_binding_protein:cds3388:-:1316:NC_000913.3,WT0_WT90,ugpB,b3453
"AS_IGR:(CDS,b3453,ugpB,sn-glycerol-3-phosphate_ABC_transporter_periplasmic_binding_protein,cds3388,-,1316/CDS,b3454,livF,branched-chain_amino_acid_ABC_transporter_ATPase,cds3389,-,713):+:347:NC_000913.3",WT0_WT90,NA,NA
AS_CDS:b3455:livG:branched-chain_amino_acid_ABC_transporter_ATPase:cds3390:-:767:NC_000913.3,WT0_WT90,livG,b3455
"AS_IGR:(CDS,b3461,rpoH,RNA_polymerase%2C_sigma_32_sigma_H_factor,cds3396,-,854/CDS,b3462,ftsX,putative_ABC_transporter_permease,cds3397,-,1058):+:193:NC_000913.3",WT0_WT90,NA,NA
CDS:b3462:ftsX:putative_ABC_transporter_permease:cds3397:-:1058:NC_000913.3,WT0_WT90,ftsX,b3462
AS_CDS:b3462:ftsX:putative_ABC_transporter_permease:cds3397:-:1058:NC_000913.3,WT0_WT90,ftsX,b3462
CDS:b3464:ftsY:Signal_Recognition_Particle_SRP_receptor:cds3399:-:1493:NC_000913.3,WT0_WT90,ftsY,b3464
CDS:b3468:yhhN:TMEM86_family_putative_inner_membrane_protein:cds3403:+:626:NC_000913.3,WT0_WT90,yhhN,b3468
"IGR:(CDS,b3468,yhhN,TMEM86_family_putative_inner_membrane_protein,cds3403,+,626/CDS,b3469,zntA,zinc%2C_cobalt_and_lead_efflux_system,cds3404,+,2198):+:22:NC_000913.3",WT0_WT90,NA,NA
CDS:b3469:zntA:zinc%2C_cobalt_and_lead_efflux_system:cds3404:+:2198:NC_000913.3,WT0_WT90,zntA,b3469
AS_CDS:b3469:zntA:zinc%2C_cobalt_and_lead_efflux_system:cds3404:+:2198:NC_000913.3,WT0_WT90,zntA,b3469
"AS_IGR:(CDS,b3469,zntA,zinc%2C_cobalt_and_lead_efflux_system,cds3404,+,2198/CDS,b3470,tusA,mnm5-s2U34-tRNA_2-thiolation_sulfurtransferase,cds3405,-,245):+:40:NC_000913.3",WT0_WT90,NA,NA
CDS:b3470:tusA:mnm5-s2U34-tRNA_2-thiolation_sulfurtransferase:cds3405:-:245:NC_000913.3,WT0_WT90,tusA,b3470
"IGR:(CDS,b3470,tusA,mnm5-s2U34-tRNA_2-thiolation_sulfurtransferase,cds3405,-,245/CDS,b3471,yhhQ,DUF165_family_inner_membrane_protein,cds3406,+,665):+:179:NC_000913.3",WT0_WT90,NA,NA
CDS:b3471:yhhQ:DUF165_family_inner_membrane_protein:cds3406:+:665:NC_000913.3,WT0_WT90,yhhQ,b3471
CDS:b3474:yhhT:UPF0118_family_putative_transporter:cds3409:+:1049:NC_000913.3,WT0_WT90,yhhT,b3474
CDS:b3476:nikA:nickel/heme_ABC_transporter_periplasmic_binding_protein:cds3411:+:1574:NC_000913.3,WT0_WT90,nikA,b3476
CDS:b3477:nikB:nickel_ABC_transporter_permease:cds3412:+:944:NC_000913.3,WT0_WT90,nikB,b3477
CDS:b3478:nikC:nickel_ABC_transporter_permease:cds3413:+:833:NC_000913.3,WT0_WT90,nikC,b3478
AS_CDS:b3481:nikR:transcriptional_repressor%2C_Ni-binding:cds3416:+:401:NC_000913.3,WT0_WT90,nikR,b3481
"AS_IGR:(CDS,b3481,nikR,transcriptional_repressor%2C_Ni-binding,cds3416,+,401/CDS,b3482,rhsB,Rhs_protein_with_DUF4329_family_putative_toxin_domain%3B_putative_neighboring_cell_growth_inhibitor,cds3417,+,4235):+:151:NC_000913.3",WT0_WT90,NA,NA
AS_CDS:b3484:yhhI:putative_transposase:cds3420:+:1136:NC_000913.3,WT0_WT90,yhhI,b3484
"AS_IGR:(CDS,b3484,yhhI,putative_transposase,cds3420,+,1136/CDS,b3485,yhhJ,putative_ABC_transporter_permease,cds3421,-,1124):+:103:NC_000913.3",WT0_WT90,NA,NA
CDS:b3485:yhhJ:putative_ABC_transporter_permease:cds3421:-:1124:NC_000913.3,WT0_WT90,yhhJ,b3485
CDS:b3486:rbbA:ribosome-associated_ATPase:_ATP-binding_protein/ATP-binding_membrane_protein:cds3422:-:2735:NC_000913.3,WT0_WT90,rbbA,b3486
CDS:b3487:yhiI:putative_membrane_fusion_protein_MFP_of_efflux_pump:cds3423:-:1067:NC_000913.3,WT0_WT90,yhiI,b3487
AS_CDS:b3491:yhiM:acid_resistance_protein%2C_inner_membrane:cds3426:+:1052:NC_000913.3,WT0_WT90,yhiM,b3491
"AS_IGR:(CDS,b3491,yhiM,acid_resistance_protein%2C_inner_membrane,cds3426,+,1052/CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202):+:253:NC_000913.3",WT0_WT90,NA,NA
CDS:b3492:yhiN:putative_oxidoreductase:cds3427:-:1202:NC_000913.3,WT0_WT90,yhiN,b3492
"IGR:(CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202/CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499):+:190:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202/CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499):+:190:NC_000913.3",WT0_WT90,NA,NA
CDS:b3493:pitA:phosphate_transporter%2C_low-affinity%3B_tellurite_importer:cds3428:+:1499:NC_000913.3,WT0_WT90,pitA,b3493
AS_CDS:b3493:pitA:phosphate_transporter%2C_low-affinity%3B_tellurite_importer:cds3428:+:1499:NC_000913.3,WT0_WT90,pitA,b3493
"IGR:(CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499/CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335):+:182:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499/CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335):+:182:NC_000913.3",WT0_WT90,NA,NA
CDS:b3494:uspB:universal_stress_ethanol_tolerance_protein_B:cds3429:-:335:NC_000913.3,WT0_WT90,uspB,b3494
AS_CDS:b3494:uspB:universal_stress_ethanol_tolerance_protein_B:cds3429:-:335:NC_000913.3,WT0_WT90,uspB,b3494
"IGR:(CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335/CDS,b3495,uspA,universal_stress_global_response_regulator,cds3430,+,434):+:349:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335/CDS,b3495,uspA,universal_stress_global_response_regulator,cds3430,+,434):+:349:NC_000913.3",WT0_WT90,NA,NA
CDS:b3495:uspA:universal_stress_global_response_regulator:cds3430:+:434:NC_000913.3,WT0_WT90,uspA,b3495
"IGR:(CDS,b3495,uspA,universal_stress_global_response_regulator,cds3430,+,434/CDS,b3496,dtpB,dipeptide_and_tripeptide_permease_B,cds3431,+,1469):+:265:NC_000913.3",WT0_WT90,NA,NA
CDS:b3496:dtpB:dipeptide_and_tripeptide_permease_B:cds3431:+:1469:NC_000913.3,WT0_WT90,dtpB,b3496
CDS:b3498:prlC:oligopeptidase_A:cds3433:-:2042:NC_000913.3,WT0_WT90,prlC,b3498
"AS_IGR:(CDS,b3498,prlC,oligopeptidase_A,cds3433,-,2042/CDS,b3499,rlmJ,23S_rRNA_m6A2030_methyltransferase%2C_SAM-dependent,cds3434,+,842):+:161:NC_000913.3",WT0_WT90,NA,NA
CDS:b3499:rlmJ:23S_rRNA_m6A2030_methyltransferase%2C_SAM-dependent:cds3434:+:842:NC_000913.3,WT0_WT90,rlmJ,b3499
"IGR:(CDS,b4613,dinQ,UV-inducible_membrane_toxin%2C_DinQ-AgrB_type_I_toxin-antitoxin_system,cds3436,-,83/ncRNA,b4712,ID,agrA,inactive_antisense_sRNA,id438,+,83):+:253:NC_000913.3",WT0_WT90,NA,NA
"ncRNA:b4712,ID:agrA:inactive_antisense_sRNA:id438:+:83:NC_000913.3",WT0_WT90,NA,NA
"IGR:(ncRNA,b4712,ID,agrA,inactive_antisense_sRNA,id438,+,83/ncRNA,b4713,ID,agrB,antisense_sRNA_antitoxin_for_the_DinQ_toxin,id439,+,83):+:146:NC_000913.3",WT0_WT90,NA,NA
"ncRNA:b4713,ID:agrB:antisense_sRNA_antitoxin_for_the_DinQ_toxin:id439:+:83:NC_000913.3",WT0_WT90,NA,NA
"IGR:(ncRNA,b4713,ID,agrB,antisense_sRNA_antitoxin_for_the_DinQ_toxin,id439,+,83/CDS,b3501,arsR,arsenical_resistance_operon_transcriptional_repressor%3B_autorepressor,cds3437,+,353):+:129:NC_000913.3",WT0_WT90,NA,NA
CDS:b3506:slp:outer_membrane_lipoprotein:cds3442:+:566:NC_000913.3,WT0_WT90,slp,b3506
"IGR:(CDS,b3506,slp,outer_membrane_lipoprotein,cds3442,+,566/CDS,b3507,dctR,Putative_LuxR_family_repressor_for_dicarboxylate_transport,cds3443,+,530):+:104:NC_000913.3",WT0_WT90,NA,NA
CDS:b3507:dctR:Putative_LuxR_family_repressor_for_dicarboxylate_transport:cds3443:+:530:NC_000913.3,WT0_WT90,dctR,b3507
AS_CDS:b3507:dctR:Putative_LuxR_family_repressor_for_dicarboxylate_transport:cds3443:+:530:NC_000913.3,WT0_WT90,dctR,b3507
CDS:b3508:yhiD:putative_Mg2+_transport_ATPase%2C_inner_membrane_protein:cds3444:-:647:NC_000913.3,WT0_WT90,yhiD,b3508
"AS_IGR:(CDS,b3508,yhiD,putative_Mg2+_transport_ATPase%2C_inner_membrane_protein,cds3444,-,647/CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326):+:12:NC_000913.3",WT0_WT90,NA,NA
CDS:b3509:hdeB:acid-resistance_protein:cds3445:-:326:NC_000913.3,WT0_WT90,hdeB,b3509
AS_CDS:b3509:hdeB:acid-resistance_protein:cds3445:-:326:NC_000913.3,WT0_WT90,hdeB,b3509
"IGR:(CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326/CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332):+:64:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326/CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332):+:64:NC_000913.3",WT0_WT90,NA,NA
CDS:b3510:hdeA:stress_response_protein_acid-resistance_protein:cds3446:-:332:NC_000913.3,WT0_WT90,hdeA,b3510
AS_CDS:b3510:hdeA:stress_response_protein_acid-resistance_protein:cds3446:-:332:NC_000913.3,WT0_WT90,hdeA,b3510
"IGR:(CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332/CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572):+:213:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332/CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572):+:213:NC_000913.3",WT0_WT90,NA,NA
CDS:b3511:hdeD:acid-resistance_membrane_protein:cds3447:+:572:NC_000913.3,WT0_WT90,hdeD,b3511
"IGR:(CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572/ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68):+:387:NC_000913.3",WT0_WT90,NA,NA
"AS_IGR:(CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572/ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68):+:387:NC_000913.3",WT0_WT90,NA,NA
"ncRNA:b4704,ID:arrS:antisense_sRNA_ArrS%2C_function_unknown:id442:-:68:NC_000913.3",WT0_WT90,NA,NA
"AS_ncRNA:b4704,ID:arrS:antisense_sRNA_ArrS%2C_function_unknown:id442:-:68:NC_000913.3",WT0_WT90,NA,NA
"IGR:(ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68/CDS,b3512,gadE,gad_regulon_transcriptional_activator,cds3448,+,527):+:290:NC_000913.3",WT0_WT90,NA,NA
CDS:b3512:gadE:gad_regulon_transcriptional_activator:cds3448:+:527:NC_000913.3,WT0_WT90,gadE,b3512
"IGR:(CDS,b3512,gadE,gad_regulon_transcriptional_activator,cds3448,+,527/CDS,b3513,mdtE,anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated,cds3449,+,1157):+:287:NC_000913.3",WT0_WT90,NA,NA
CDS:b3513:mdtE:anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated:cds3449:+:1157:NC_000913.3,WT0_WT90,mdtE,b3513
CDS:b3514:mdtF:anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated:cds3450:+:3113:NC_000913.3,WT0_WT90,mdtF,b3514
AS_CDS:b3514:mdtF:anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated:cds3450:+:3113:NC_000913.3,WT0_WT90,mdtF,b3514
"AS_IGR:(CDS,b3514,mdtF,anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated,cds3450,+,3113/CDS,b3515,gadW,transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX,cds3451,-,728):+:301:NC_000913.3",WT0_WT90,NA,NA
CDS:b3515:gadW:transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX:cds3451:-:728:NC_000913.3,WT0_WT90,gadW,b3515
"AS_IGR:(CDS,b3515,gadW,transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX,cds3451,-,728/ncRNA,b4452,ID,gadY,sRNA_antisense_regulator_of_gadAB_transcriptional_activator_GadX_mRNA%2C_Hfq-dependent,id443,+,104):+:224:NC_000913.3",WT0_WT90,NA,NA
"AS_ncRNA:b4452,ID:gadY:sRNA_antisense_regulator_of_gadAB_transcriptional_activator_GadX_mRNA%2C_Hfq-dependent:id443:+:104:NC_000913.3",WT0_WT90,NA,NA
